Start (s),End (s),Scientific name,Common name,Confidence
30.0,33.0,Falco peregrinus,Peregrine Falcon,0.1086
70.5,73.5,Calidris minutilla,Least Sandpiper,0.1108
88.5,91.5,Calidris alpina,Dunlin,0.1115
91.5,94.5,Calidris minutilla,Least Sandpiper,0.1081
124.5,127.5,Calidris minutilla,Least Sandpiper,0.1557
136.5,139.5,Calidris minutilla,Least Sandpiper,0.2598
228.0,231.0,Calidris alpina,Dunlin,0.1839
228.0,231.0,Calidris minutilla,Least Sandpiper,0.1126
228.0,231.0,Calidris bairdii,Baird's Sandpiper,0.1115
247.5,250.5,Luscinia svecica,Bluethroat,0.2442
249.0,252.0,Luscinia svecica,Bluethroat,0.2985
259.5,262.5,Calidris melanotos,Pectoral Sandpiper,0.5932
264.0,267.0,Luscinia svecica,Bluethroat,0.1678
