Start (s),End (s),Scientific name,Common name,Confidence
37.5,40.5,Calidris pusilla,Semipalmated Sandpiper,0.2020
78.0,81.0,Calidris pusilla,Semipalmated Sandpiper,0.9620
79.5,82.5,Calidris pusilla,Semipalmated Sandpiper,0.9716
162.0,165.0,Calidris pusilla,Semipalmated Sandpiper,0.2046
163.5,166.5,Calidris pusilla,Semipalmated Sandpiper,0.3146
177.0,180.0,Bartramia longicauda,Upland Sandpiper,0.1274
223.5,226.5,Calidris pusilla,Semipalmated Sandpiper,0.4372
223.5,226.5,Bartramia longicauda,Upland Sandpiper,0.1241
225.0,228.0,Calidris pusilla,Semipalmated Sandpiper,0.3985
225.0,228.0,Bartramia longicauda,Upland Sandpiper,0.2464
