Start (s),End (s),Scientific name,Common name,Confidence
7.5,10.5,Anser albifrons,Greater White-fronted Goose,0.1586
9.0,12.0,Anser albifrons,Greater White-fronted Goose,0.4230
10.5,13.5,Anser albifrons,Greater White-fronted Goose,0.7954
12.0,15.0,Anser albifrons,Greater White-fronted Goose,0.9180
13.5,16.5,Anser albifrons,Greater White-fronted Goose,0.5240
159.0,162.0,Anser albifrons,Greater White-fronted Goose,0.3810
160.5,163.5,Anser albifrons,Greater White-fronted Goose,0.1337
162.0,165.0,Anser albifrons,Greater White-fronted Goose,0.1067
163.5,166.5,Anser albifrons,Greater White-fronted Goose,0.1470
