Start (s),End (s),Scientific name,Common name,Confidence
21.0,24.0,Calidris bairdii,Baird's Sandpiper,0.1919
24.0,27.0,Anser albifrons,Greater White-fronted Goose,0.1150
25.5,28.5,Anser albifrons,Greater White-fronted Goose,0.1815
28.5,31.5,Anser albifrons,Greater White-fronted Goose,0.1122
30.0,33.0,Anser albifrons,Greater White-fronted Goose,0.4084
31.5,34.5,Anser albifrons,Greater White-fronted Goose,0.1191
88.5,91.5,Calidris bairdii,Baird's Sandpiper,0.1109
88.5,91.5,Calidris minutilla,Least Sandpiper,0.1027
237.0,240.0,Anser albifrons,Greater White-fronted Goose,0.3581
238.5,241.5,Anser albifrons,Greater White-fronted Goose,0.7138
240.0,243.0,Anser albifrons,Greater White-fronted Goose,0.9824
241.5,244.5,Anser albifrons,Greater White-fronted Goose,0.9316
243.0,246.0,Anser albifrons,Greater White-fronted Goose,0.9642
244.5,247.5,Anser albifrons,Greater White-fronted Goose,0.8288
