filename,start,stop,manSp,netSp,conf
AL35_20230604_143000.wav,0,300,"['lalo', 'nan'] , ['wipt', 'nan'] , ['wipt', 'unknown', 'nan'] , ['unknown', 'nan'] , ['lalo', 'gwfg', 'nan'] , ['gwfg', 'nan'] , ['lalo', 'wipt', 'nan'] , ['BARG', 'nan'] , ['gwfg', 'BARG', 'nan'] , ['lalo', 'BARG', 'nan']",BARG,0.5084
20220616_133000.wav,0,300,"['LALO', 'nan'] , ['PESA', 'LALO', 'nan'] , ['LALO', 'nan', 'GWFG'] , ['PESA', 'nan'] , ['LALO', 'DUNL', 'nan'] , ['PESA', 'LALO', 'DUNL', 'nan']",PESA,0.6674
AR18_20220626_073000.wav,0,300,"['RTLO', 'nan'] , ['LALO', 'nan']",nan,nan
AR53_20230613_143000.wav,0,300,"['LALO', 'nan'] , ['nan', 'AMGP'] , ['PALO', 'nan'] , ['WIPT', 'nan'] , ['WIPT', 'PALO', 'nan'] , ['WIPT', 'LALO', 'nan'] , ['DUNL', 'nan']",SEOW,0.5156
EC41_20230619_123000.wav,0,300,"['RTLO', 'nan'] , ['LALO', 'nan'] , ['SAVS', 'nan']",nan,nan
AR108_20220623_173000.wav,0,300,"['STSA', 'nan']",nan,nan
AL33_20230615_093000.wav,0,300,"['lalo', 'nan'] , ['gwfg', 'nan'] , ['redpoll', 'nan'] , ['unknown', 'nan']",nan,nan
AR45_20230612_113000.wav,0,300,"['nan', 'GWFG'] , ['PESA', 'nan', 'GWFG'] , ['PESA', 'phalarope', 'nan', 'GWFG'] , ['phalarope', 'nan', 'GWFG'] , ['phalarope', 'nan'] , ['CACK', 'nan', 'GWFG']",GWFG,0.9824
AL35_20230605_133000.wav,0,300,"['gwfg', 'nan'] , ['lalo', 'nan'] , ['lalo', 'wipt', 'nan'] , ['lalo', 'wipt', 'gwfg', 'nan'] , ['lalo', 'gwfg', 'nan'] , ['lalo', 'gwfg', 'unknown', 'nan'] , ['lalo', 'gwfg', 'lbdo', 'nan']",nan,nan
AL57_20230614_010000.wav,0,300,"['RTLO', 'nan'] , ['RTLO', 'DUNL', 'nan'] , ['BBPL', 'nan'] , ['LALO', 'nan'] , ['Insect', 'nan'] , ['SESA', 'nan']",nan,nan
EC41_20230619_120000.wav,0,300,"['WIPT', 'nan'] , ['WIPT', 'LALO', 'nan'] , ['LALO', 'nan']",nan,nan
AR87_20230615_063000.wav,0,300,"['LALO', 'nan'] , ['DUNL', 'nan'] , ['PESA', 'nan'] , ['PESA', 'LALO', 'nan'] , ['SESA', 'nan'] , ['RTLO', 'nan'] , ['LALO', 'DUNL', 'nan'] , ['SESA', 'DUNL', 'nan']",nan,nan
AR70_20230801_203000.wav,0,300,"['na', 'nan']",nan,nan
AR93_20230705_073000.wav,0,300,"['LTJA', 'nan']",nan,nan
AL33_20230711_083000.wav,0,300,"['palo', 'nan'] , ['unknown', 'nan']",nan,nan
AR04_20220528_080000.wav,0,300,"['LALO', 'nan']",nan,nan
AR87_20230614_013000.wav,0,300,"['DUNL', 'nan'] , ['PESA', 'nan']",nan,nan
