Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,redpoll,redpoll,0.1173
3.0,6.0,redpoll,redpoll,0.2425
3.0,6.0,LBDO,LBDO,0.1663
4.5,7.5,redpoll,redpoll,0.2454
4.5,7.5,LBDO,LBDO,0.1692
9.0,12.0,redpoll,redpoll,0.2482
10.5,13.5,redpoll,redpoll,0.2601
13.5,16.5,LBDO,LBDO,0.1308
13.5,16.5,LALO,LALO,0.1142
13.5,16.5,SAVS,SAVS,0.1067
13.5,16.5,WIPT,WIPT,0.1003
19.5,22.5,ATSP,ATSP,0.1897
28.5,31.5,unkMF,unkMF,0.1495
30.0,33.0,redpoll,redpoll,0.1536
30.0,33.0,SAVS,SAVS,0.1124
34.5,37.5,ATSP,ATSP,0.2936
37.5,40.5,redpoll,redpoll,0.1134
40.5,43.5,ATSP,ATSP,0.1471
42.0,45.0,redpoll,redpoll,0.1125
43.5,46.5,redpoll,redpoll,0.1708
43.5,46.5,ARTE,ARTE,0.1314
46.5,49.5,unkMF,unkMF,0.2115
48.0,51.0,unkMF,unkMF,0.3540
51.0,54.0,LBDO,LBDO,0.2516
52.5,55.5,redpoll,redpoll,0.1929
52.5,55.5,LBDO,LBDO,0.1027
55.5,58.5,LBDO,LBDO,0.1140
57.0,60.0,LBDO,LBDO,0.2031
58.5,61.5,ATSP,ATSP,0.1523
61.5,64.5,ATSP,ATSP,0.1152
63.0,66.0,redpoll,redpoll,0.3178
69.0,72.0,redpoll,redpoll,0.1802
73.5,76.5,redpoll,redpoll,0.4629
75.0,78.0,redpoll,redpoll,0.6988
76.5,79.5,ATSP,ATSP,0.1068
84.0,87.0,redpoll,redpoll,0.1499
90.0,93.0,unkMF,unkMF,0.1278
96.0,99.0,unkMF,unkMF,0.1474
99.0,102.0,unkMF,unkMF,0.1532
99.0,102.0,ATSP,ATSP,0.1136
103.5,106.5,ATSP,ATSP,0.1938
105.0,108.0,ATSP,ATSP,0.1191
108.0,111.0,ATSP,ATSP,0.2094
109.5,112.5,redpoll,redpoll,0.1373
111.0,114.0,redpoll,redpoll,0.1846
114.0,117.0,ATSP,ATSP,0.1421
115.5,118.5,ATSP,ATSP,0.4720
117.0,120.0,ATSP,ATSP,0.1349
123.0,126.0,ATSP,ATSP,0.1177
129.0,132.0,ATSP,ATSP,0.3302
133.5,136.5,unkMF,unkMF,0.1651
148.5,151.5,ATSP,ATSP,0.1461
151.5,154.5,phalarope,phalarope,0.1528
168.0,171.0,ATSP,ATSP,0.3110
169.5,172.5,ATSP,ATSP,0.1343
172.5,175.5,phalarope,phalarope,0.1214
177.0,180.0,redpoll,redpoll,0.6073
178.5,181.5,redpoll,redpoll,0.3244
181.5,184.5,phalarope,phalarope,0.1646
183.0,186.0,phalarope,phalarope,0.1087
184.5,187.5,phalarope,phalarope,0.2335
186.0,189.0,phalarope,phalarope,0.2069
187.5,190.5,ATSP,ATSP,0.1703
189.0,192.0,phalarope,phalarope,0.2405
192.0,195.0,redpoll,redpoll,0.3400
193.5,196.5,redpoll,redpoll,0.8377
195.0,198.0,unkMF,unkMF,0.1510
198.0,201.0,phalarope,phalarope,0.2263
201.0,204.0,ATSP,ATSP,0.1483
205.5,208.5,redpoll,redpoll,0.6211
207.0,210.0,redpoll,redpoll,0.5796
208.5,211.5,ATSP,ATSP,0.1687
210.0,213.0,ATSP,ATSP,0.3180
211.5,214.5,unkMF,unkMF,0.1078
213.0,216.0,unkMF,unkMF,0.1062
216.0,219.0,redpoll,redpoll,0.1174
217.5,220.5,LBDO,LBDO,0.1109
222.0,225.0,ATSP,ATSP,0.1214
225.0,228.0,redpoll,redpoll,0.1239
226.5,229.5,redpoll,redpoll,0.6439
226.5,229.5,LBDO,LBDO,0.1143
228.0,231.0,unkMF,unkMF,0.2151
229.5,232.5,unkMF,unkMF,0.2478
232.5,235.5,redpoll,redpoll,0.3100
234.0,237.0,redpoll,redpoll,0.6807
243.0,246.0,LALO,LALO,0.1374
243.0,246.0,phalarope,phalarope,0.1198
244.5,247.5,redpoll,redpoll,0.2047
246.0,249.0,ATSP,ATSP,0.2029
247.5,250.5,ATSP,ATSP,0.2983
249.0,252.0,ATSP,ATSP,0.3785
253.5,256.5,LBDO,LBDO,0.2606
256.5,259.5,ATSP,ATSP,0.4837
258.0,261.0,DUNL,DUNL,0.1583
259.5,262.5,redpoll,redpoll,0.1496
259.5,262.5,LBDO,LBDO,0.1422
259.5,262.5,LALO,LALO,0.1043
261.0,264.0,redpoll,redpoll,0.2884
261.0,264.0,LBDO,LBDO,0.1988
264.0,267.0,ATSP,ATSP,0.1554
267.0,270.0,redpoll,redpoll,0.3693
268.5,271.5,redpoll,redpoll,0.3025
268.5,271.5,LBDO,LBDO,0.1387
273.0,276.0,redpoll,redpoll,0.3873
274.5,277.5,redpoll,redpoll,0.1477
280.5,283.5,redpoll,redpoll,0.9389
282.0,285.0,redpoll,redpoll,0.7894
292.5,295.5,redpoll,redpoll,0.2185
292.5,295.5,LBDO,LBDO,0.1690
294.0,297.0,LBDO,LBDO,0.4228
294.0,297.0,redpoll,redpoll,0.2460
297.0,300.0,ATSP,ATSP,0.1025
