Start (s),End (s),Scientific name,Common name,Confidence
1.5,4.5,ATSP,ATSP,0.1193
10.5,13.5,phalarope,phalarope,0.1046
15.0,18.0,phalarope,phalarope,0.1629
18.0,21.0,unkMF,unkMF,0.2291
36.0,39.0,phalarope,phalarope,0.1171
42.0,45.0,ATSP,ATSP,0.1279
46.5,49.5,unkMF,unkMF,0.1549
48.0,51.0,LALO,LALO,0.1871
48.0,51.0,SNBU,SNBU,0.1289
49.5,52.5,LALO,LALO,0.4167
51.0,54.0,LALO,LALO,0.2262
57.0,60.0,LALO,LALO,0.1298
58.5,61.5,LALO,LALO,0.1016
60.0,63.0,SNBU,SNBU,0.7867
60.0,63.0,LALO,LALO,0.1053
61.5,64.5,LALO,LALO,0.9577
63.0,66.0,LALO,LALO,0.9912
64.5,67.5,phalarope,phalarope,0.1459
69.0,72.0,ATSP,ATSP,0.2215
73.5,76.5,phalarope,phalarope,0.3504
78.0,81.0,phalarope,phalarope,0.3409
82.5,85.5,phalarope,phalarope,0.9918
84.0,87.0,phalarope,phalarope,0.7475
88.5,91.5,phalarope,phalarope,0.1015
97.5,100.5,unkMF,unkMF,0.1198
103.5,106.5,GWFG,GWFG,0.2600
114.0,117.0,GWFG,GWFG,0.4502
115.5,118.5,GWFG,GWFG,0.1477
121.5,124.5,phalarope,phalarope,0.1538
126.0,129.0,phalarope,phalarope,0.3275
127.5,130.5,phalarope,phalarope,0.1145
147.0,150.0,GWFG,GWFG,0.1779
148.5,151.5,GWFG,GWFG,0.1409
154.5,157.5,phalarope,phalarope,0.1363
156.0,159.0,phalarope,phalarope,0.1555
157.5,160.5,ATSP,ATSP,0.3284
159.0,162.0,ATSP,ATSP,0.1750
180.0,183.0,phalarope,phalarope,0.1313
184.5,187.5,phalarope,phalarope,0.1024
195.0,198.0,phalarope,phalarope,0.1089
196.5,199.5,phalarope,phalarope,0.1223
207.0,210.0,phalarope,phalarope,0.1028
210.0,213.0,phalarope,phalarope,0.1002
225.0,228.0,ATSP,ATSP,0.1263
252.0,255.0,LALO,LALO,0.1382
253.5,256.5,LBDO,LBDO,0.1593
255.0,258.0,LBDO,LBDO,0.1738
262.5,265.5,phalarope,phalarope,0.1135
268.5,271.5,LBDO,LBDO,0.9120
270.0,273.0,LBDO,LBDO,0.7572
271.5,274.5,LBDO,LBDO,0.9738
273.0,276.0,DUNL,DUNL,0.1623
273.0,276.0,WESA,WESA,0.1147
274.5,277.5,ATSP,ATSP,0.1705
276.0,279.0,ATSP,ATSP,0.5008
277.5,280.5,BBPL,BBPL,0.1290
277.5,280.5,phalarope,phalarope,0.1190
279.0,282.0,LBDO,LBDO,0.1293
279.0,282.0,WIPT,WIPT,0.1077
280.5,283.5,LBDO,LBDO,0.7877
282.0,285.0,LBDO,LBDO,0.9465
283.5,286.5,LBDO,LBDO,0.5894
285.0,288.0,phalarope,phalarope,0.1236
291.0,294.0,GWFG,GWFG,0.1862
294.0,297.0,LBDO,LBDO,0.2550
