Start (s),End (s),Scientific name,Common name,Confidence
16.5,19.5,unkMF,unkMF,0.1434
16.5,19.5,LALO,LALO,0.1078
18.0,21.0,unkMF,unkMF,0.1247
21.0,24.0,phalarope,phalarope,0.1515
31.5,34.5,phalarope,phalarope,0.1277
33.0,36.0,LALO,LALO,0.1557
40.5,43.5,LALO,LALO,0.2475
42.0,45.0,LALO,LALO,0.1374
42.0,45.0,phalarope,phalarope,0.1203
43.5,46.5,phalarope,phalarope,0.1850
45.0,48.0,phalarope,phalarope,0.7407
46.5,49.5,phalarope,phalarope,0.9976
48.0,51.0,phalarope,phalarope,0.9934
49.5,52.5,phalarope,phalarope,0.9950
51.0,54.0,phalarope,phalarope,0.7306
55.5,58.5,RTLO,RTLO,0.1483
64.5,67.5,GWFG,GWFG,0.7079
64.5,67.5,YBLO,YBLO,0.1718
66.0,69.0,GWFG,GWFG,0.9936
73.5,76.5,ARFO,ARFO,0.1488
73.5,76.5,RTLO,RTLO,0.1165
76.5,79.5,redpoll,redpoll,0.2524
76.5,79.5,LALO,LALO,0.2491
78.0,81.0,LALO,LALO,0.2334
78.0,81.0,redpoll,redpoll,0.1701
81.0,84.0,RTLO,RTLO,0.1841
81.0,84.0,PALO,PALO,0.1098
84.0,87.0,LALO,LALO,0.1839
84.0,87.0,SAVS,SAVS,0.1278
85.5,88.5,LALO,LALO,0.9084
87.0,90.0,unkMF,unkMF,0.5117
87.0,90.0,LALO,LALO,0.1195
88.5,91.5,LALO,LALO,0.1924
90.0,93.0,unkMF,unkMF,0.1059
91.5,94.5,BBPL,BBPL,0.4278
93.0,96.0,unkMF,unkMF,0.4871
108.0,111.0,phalarope,phalarope,0.9504
109.5,112.5,phalarope,phalarope,0.9996
111.0,114.0,phalarope,phalarope,0.9970
112.5,115.5,unkMF,unkMF,0.1383
114.0,117.0,unkMF,unkMF,0.1024
118.5,121.5,motor,motor,0.2462
118.5,121.5,RTLO,RTLO,0.1400
120.0,123.0,RTLO,RTLO,0.1689
124.5,127.5,motor,motor,0.1094
127.5,130.5,RTLO,RTLO,0.1055
129.0,132.0,BBPL,BBPL,0.5248
130.5,133.5,BBPL,BBPL,0.5243
132.0,135.0,RTLO,RTLO,0.7076
132.0,135.0,BBPL,BBPL,0.1023
133.5,136.5,BBPL,BBPL,0.6143
135.0,138.0,BBPL,BBPL,0.4297
135.0,138.0,STSA,STSA,0.1761
135.0,138.0,LTJA,LTJA,0.1137
136.5,139.5,BBPL,BBPL,0.3034
136.5,139.5,STSA,STSA,0.1653
138.0,141.0,STSA,STSA,0.3220
138.0,141.0,BBPL,BBPL,0.2323
139.5,142.5,BBPL,BBPL,0.2870
139.5,142.5,STSA,STSA,0.1524
141.0,144.0,BBPL,BBPL,0.6026
141.0,144.0,RTLO,RTLO,0.1019
142.5,145.5,BBPL,BBPL,0.9968
144.0,147.0,BBPL,BBPL,0.2178
144.0,147.0,STSA,STSA,0.1946
145.5,148.5,BBPL,BBPL,0.7476
150.0,153.0,PALO,PALO,0.1489
150.0,153.0,RTLO,RTLO,0.1008
157.5,160.5,BBPL,BBPL,0.2674
159.0,162.0,BBPL,BBPL,0.1603
159.0,162.0,LALO,LALO,0.1488
159.0,162.0,unkMF,unkMF,0.1259
160.5,163.5,unkMF,unkMF,0.1167
160.5,163.5,BBPL,BBPL,0.1115
