Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,RTLO,RTLO,0.1793
1.5,4.5,LALO,LALO,0.1620
1.5,4.5,SAVS,SAVS,0.1025
3.0,6.0,LALO,LALO,0.2452
6.0,9.0,unkMF,unkMF,0.3275
6.0,9.0,redpoll,redpoll,0.2490
15.0,18.0,RTLO,RTLO,0.1300
15.0,18.0,LALO,LALO,0.1004
18.0,21.0,RTLO,RTLO,0.1077
19.5,22.5,LALO,LALO,0.2135
21.0,24.0,LALO,LALO,0.4835
21.0,24.0,unkMF,unkMF,0.2127
22.5,25.5,LALO,LALO,0.2541
22.5,25.5,SAVS,SAVS,0.1419
25.5,28.5,LALO,LALO,0.2355
27.0,30.0,LALO,LALO,0.2491
27.0,30.0,unkMF,unkMF,0.1323
31.5,34.5,LALO,LALO,0.9994
33.0,36.0,unkMF,unkMF,0.2417
37.5,40.5,LALO,LALO,0.1809
49.5,52.5,RTLO,RTLO,0.1117
63.0,66.0,LALO,LALO,0.1463
64.5,67.5,RTLO,RTLO,0.1225
64.5,67.5,LALO,LALO,0.1114
67.5,70.5,LALO,LALO,0.9994
69.0,72.0,LALO,LALO,0.9953
70.5,73.5,LALO,LALO,0.8696
73.5,76.5,LALO,LALO,0.1059
85.5,88.5,LALO,LALO,0.1067
100.5,103.5,LALO,LALO,0.1509
102.0,105.0,LALO,LALO,0.1012
105.0,108.0,phalarope,phalarope,0.1022
108.0,111.0,unkMF,unkMF,0.1006
109.5,112.5,LALO,LALO,0.2496
109.5,112.5,unkMF,unkMF,0.1195
117.0,120.0,LALO,LALO,0.1099
127.5,130.5,LALO,LALO,0.1308
130.5,133.5,LALO,LALO,0.1600
132.0,135.0,RTLO,RTLO,0.1786
135.0,138.0,RTLO,RTLO,0.1384
136.5,139.5,RTLO,RTLO,0.1762
142.5,145.5,LALO,LALO,0.1437
181.5,184.5,phalarope,phalarope,0.1749
195.0,198.0,phalarope,phalarope,0.1851
198.0,201.0,LALO,LALO,0.1604
201.0,204.0,BBPL,BBPL,0.1207
204.0,207.0,RTLO,RTLO,0.1448
207.0,210.0,LALO,LALO,0.1314
210.0,213.0,RTLO,RTLO,0.1880
234.0,237.0,LALO,LALO,0.1139
235.5,238.5,WIPT,WIPT,0.1115
238.5,241.5,BBPL,BBPL,0.1049
240.0,243.0,RTLO,RTLO,0.1294
243.0,246.0,RTLO,RTLO,0.1334
243.0,246.0,LALO,LALO,0.1274
246.0,249.0,phalarope,phalarope,0.1796
247.5,250.5,LALO,LALO,0.1106
253.5,256.5,phalarope,phalarope,0.1369
255.0,258.0,phalarope,phalarope,0.1035
256.5,259.5,phalarope,phalarope,0.2258
256.5,259.5,unkMF,unkMF,0.1211
258.0,261.0,phalarope,phalarope,0.2213
258.0,261.0,LALO,LALO,0.1093
267.0,270.0,LALO,LALO,0.1756
267.0,270.0,unkMF,unkMF,0.1024
280.5,283.5,RTLO,RTLO,0.1158
282.0,285.0,LALO,LALO,0.1456
