Start (s),End (s),Scientific name,Common name,Confidence
1.5,4.5,LALO,LALO,0.3122
1.5,4.5,SNBU,SNBU,0.1627
1.5,4.5,ARFO,ARFO,0.1627
3.0,6.0,gull,gull,0.1932
3.0,6.0,SNBU,SNBU,0.1927
4.5,7.5,gull,gull,0.6172
6.0,9.0,gull,gull,0.3000
6.0,9.0,LTDU,LTDU,0.2431
7.5,10.5,ARFO,ARFO,0.2758
7.5,10.5,RTLO,fc,0.1059
9.0,12.0,SNBU,SNBU,0.2310
10.5,13.5,RTLO,fc,0.1560
12.0,15.0,RTLO,fc,0.4580
13.5,16.5,motor,motor,0.1144
13.5,16.5,GWFG,GWFG,0.1099
15.0,18.0,YBLO,YBLO,0.2621
15.0,18.0,ARFO,ARFO,0.1805
16.5,19.5,ARFO,ARFO,0.9778
18.0,21.0,ARFO,ARFO,0.8851
19.5,22.5,ARFO,ARFO,0.2468
21.0,24.0,gull,gull,0.9593
21.0,24.0,LTDU,LTDU,0.5042
22.5,25.5,gull,gull,0.9581
24.0,27.0,gull,gull,0.9980
25.5,28.5,gull,gull,0.5617
25.5,28.5,RTLO,RTLO,0.2866
28.5,31.5,SNBU,SNBU,0.3628
30.0,33.0,phalarope,phalarope,0.2129
30.0,33.0,SNBU,SNBU,0.1182
31.5,34.5,GWFG,GWFG,0.5396
33.0,36.0,GWFG,GWFG,0.4956
34.5,37.5,GWFG,GWFG,0.7269
36.0,39.0,GWFG,GWFG,0.2630
36.0,39.0,SNBU,SNBU,0.1382
37.5,40.5,SNBU,SNBU,0.1931
37.5,40.5,ARFO,ARFO,0.1058
39.0,42.0,GWFG,GWFG,0.2811
40.5,43.5,LALO,LALO,0.1993
40.5,43.5,redpoll,redpoll,0.1288
42.0,45.0,WIPT,WIPT,0.5284
42.0,45.0,RTLO,fc,0.3303
42.0,45.0,ARFO,ARFO,0.1277
43.5,46.5,RTLO,fc,0.3141
43.5,46.5,WIPT,WIPT,0.2984
45.0,48.0,WIPT,WIPT,0.2181
45.0,48.0,RTLO,fc,0.1027
46.5,49.5,SNBU,SNBU,0.3607
46.5,49.5,LALO,LALO,0.2238
48.0,51.0,LALO,LALO,0.8010
48.0,51.0,SNBU,SNBU,0.1600
49.5,52.5,LALO,LALO,0.7785
51.0,54.0,LALO,LALO,0.1587
54.0,57.0,LALO,LALO,0.1469
54.0,57.0,SAVS,SAVS,0.1330
55.5,58.5,SNBU,SNBU,0.9996
57.0,60.0,SNBU,SNBU,0.9498
64.5,67.5,SNBU,SNBU,0.9356
66.0,69.0,SNBU,SNBU,0.8034
72.0,75.0,LALO,LALO,0.1090
73.5,76.5,ARFO,ARFO,0.9597
75.0,78.0,ARFO,ARFO,0.9979
76.5,79.5,ARFO,ARFO,0.5608
76.5,79.5,SNBU,SNBU,0.2986
78.0,81.0,ARFO,ARFO,0.9209
79.5,82.5,ARFO,ARFO,0.8219
81.0,84.0,ARFO,ARFO,0.9702
82.5,85.5,ARFO,ARFO,0.7549
84.0,87.0,ARFO,ARFO,0.6901
84.0,87.0,LALO,LALO,0.1266
85.5,88.5,ARFO,ARFO,0.2527
90.0,93.0,SNBU,SNBU,0.9962
91.5,94.5,SNBU,SNBU,0.9183
91.5,94.5,ARFO,ARFO,0.7494
93.0,96.0,ARFO,ARFO,0.8789
94.5,97.5,ARFO,ARFO,0.9628
97.5,100.5,ARFO,ARFO,0.3679
99.0,102.0,ARFO,ARFO,0.9892
100.5,103.5,ARFO,ARFO,0.3703
111.0,114.0,phalarope,phalarope,0.4299
112.5,115.5,phalarope,phalarope,0.2072
112.5,115.5,LALO,LALO,0.1677
115.5,118.5,RTLO,RTLO,0.1554
123.0,126.0,LALO,LALO,0.1507
124.5,127.5,LALO,LALO,0.1204
136.5,139.5,LALO,LALO,0.9987
138.0,141.0,LALO,LALO,0.9896
139.5,142.5,LALO,LALO,0.8245
142.5,145.5,LALO,LALO,0.3693
144.0,147.0,LALO,LALO,0.7930
145.5,148.5,LALO,LALO,0.5438
145.5,148.5,SNBU,SNBU,0.1316
147.0,150.0,LALO,LALO,0.8756
148.5,151.5,LALO,LALO,0.4788
148.5,151.5,SNBU,SNBU,0.3073
150.0,153.0,LALO,LALO,0.9805
157.5,160.5,LALO,LALO,0.1045
160.5,163.5,RTLO,RTLO,0.1523
163.5,166.5,RTLO,RTLO,0.1298
168.0,171.0,LALO,LALO,0.7701
168.0,171.0,SNBU,SNBU,0.1620
169.5,172.5,LALO,LALO,0.8521
171.0,174.0,LALO,LALO,0.5456
171.0,174.0,SNBU,SNBU,0.1288
172.5,175.5,SNBU,SNBU,0.7185
174.0,177.0,SNBU,SNBU,0.8182
175.5,178.5,LALO,LALO,0.9740
177.0,180.0,LALO,LALO,0.3446
178.5,181.5,LALO,LALO,0.1385
180.0,183.0,LALO,LALO,0.2459
181.5,184.5,LALO,LALO,0.9005
181.5,184.5,SNBU,SNBU,0.1735
183.0,186.0,SNBU,SNBU,0.5750
183.0,186.0,LALO,LALO,0.3111
184.5,187.5,LALO,LALO,0.3411
184.5,187.5,SNBU,SNBU,0.1977
186.0,189.0,LALO,LALO,0.3223
186.0,189.0,SNBU,SNBU,0.2195
187.5,190.5,LALO,LALO,0.2240
187.5,190.5,unkMF,unkMF,0.1081
192.0,195.0,LALO,LALO,0.1278
193.5,196.5,LALO,LALO,0.1854
202.5,205.5,GWFG,GWFG,0.5132
202.5,205.5,phalarope,phalarope,0.1483
204.0,207.0,GWFG,GWFG,0.7163
205.5,208.5,RTLO,RTLO,0.3049
207.0,210.0,RTLO,RTLO,0.4513
208.5,211.5,LTDU,LTDU,0.2606
208.5,211.5,gull,gull,0.2037
210.0,213.0,RTLO,RTLO,0.7474
210.0,213.0,LTDU,LTDU,0.1605
211.5,214.5,RTLO,RTLO,0.2206
214.5,217.5,LALO,LALO,0.1542
214.5,217.5,unkMF,unkMF,0.1165
219.0,222.0,RTLO,RTLO,0.2563
220.5,223.5,CACK,CACK,0.1780
220.5,223.5,GWFG,GWFG,0.1366
222.0,225.0,GWFG,GWFG,0.1227
223.5,226.5,GWFG,GWFG,0.4125
223.5,226.5,RTLO,fc,0.1146
225.0,228.0,GWFG,GWFG,0.1865
226.5,229.5,GWFG,GWFG,0.1448
228.0,231.0,GWFG,GWFG,0.2273
228.0,231.0,phalarope,phalarope,0.1770
229.5,232.5,YBLO,YBLO,0.2185
238.5,241.5,LALO,LALO,0.9744
240.0,243.0,LALO,LALO,0.9592
241.5,244.5,LALO,LALO,0.7863
244.5,247.5,LALO,LALO,0.9939
246.0,249.0,LALO,LALO,0.9683
247.5,250.5,LALO,LALO,0.7558
247.5,250.5,SNBU,SNBU,0.1043
250.5,253.5,LALO,LALO,0.1656
252.0,255.0,LALO,LALO,0.8841
252.0,255.0,SNBU,SNBU,0.1328
253.5,256.5,LALO,LALO,0.7061
253.5,256.5,SNBU,SNBU,0.2057
255.0,258.0,LALO,LALO,0.9463
256.5,259.5,SNBU,SNBU,0.3011
256.5,259.5,LALO,LALO,0.1937
258.0,261.0,SNBU,SNBU,0.5615
258.0,261.0,LALO,LALO,0.4492
259.5,262.5,LALO,LALO,0.9954
261.0,264.0,phalarope,phalarope,0.4229
261.0,264.0,SNBU,SNBU,0.3905
261.0,264.0,LALO,LALO,0.1851
262.5,265.5,RTLO,RTLO,0.1103
264.0,267.0,LALO,LALO,0.5719
264.0,267.0,SNBU,SNBU,0.1098
265.5,268.5,SNBU,SNBU,0.5390
265.5,268.5,phalarope,phalarope,0.1412
265.5,268.5,LALO,LALO,0.1128
267.0,270.0,LALO,LALO,0.3091
267.0,270.0,SNBU,SNBU,0.2281
270.0,273.0,SESA,SESA,0.4712
270.0,273.0,motor,motor,0.2095
271.5,274.5,SESA,SESA,0.4482
271.5,274.5,motor,motor,0.1221
273.0,276.0,LALO,LALO,0.2741
273.0,276.0,SNBU,SNBU,0.2333
274.5,277.5,LALO,LALO,0.9999
276.0,279.0,LALO,LALO,0.9974
277.5,280.5,SNBU,SNBU,0.2414
277.5,280.5,LALO,LALO,0.2189
277.5,280.5,SESA,SESA,0.1894
279.0,282.0,LALO,LALO,0.2895
279.0,282.0,SESA,SESA,0.2134
280.5,283.5,SESA,SESA,0.7517
280.5,283.5,LALO,LALO,0.3018
282.0,285.0,SESA,SESA,0.9741
282.0,285.0,LALO,LALO,0.1148
283.5,286.5,LALO,LALO,0.6061
283.5,286.5,SESA,SESA,0.3350
285.0,288.0,LALO,LALO,0.4499
285.0,288.0,SESA,SESA,0.1536
286.5,289.5,SESA,SESA,0.8126
286.5,289.5,LALO,LALO,0.2176
288.0,291.0,SESA,SESA,0.9187
288.0,291.0,LALO,LALO,0.1768
289.5,292.5,SESA,SESA,0.9408
289.5,292.5,LALO,LALO,0.1257
291.0,294.0,SESA,SESA,0.9648
292.5,295.5,SESA,SESA,0.3025
292.5,295.5,LBDO,LBDO,0.2543
292.5,295.5,SNBU,SNBU,0.1282
294.0,297.0,SNBU,SNBU,0.4983
294.0,297.0,ARTE,ARTE,0.1758
294.0,297.0,LBDO,LBDO,0.1579
295.5,298.5,LALO,LALO,0.9533
