Start (s),End (s),Scientific name,Common name,Confidence
4.5,7.5,LALO,LALO,0.1626
6.0,9.0,WIPT,WIPT,0.1409
15.0,18.0,WIPT,WIPT,0.1360
21.0,24.0,WIPT,WIPT,0.1167
22.5,25.5,WIPT,WIPT,0.1062
25.5,28.5,WIPT,WIPT,0.1461
28.5,31.5,WIPT,WIPT,0.1435
28.5,31.5,BBPL,BBPL,0.1210
46.5,49.5,LALO,LALO,0.1141
49.5,52.5,BBPL,BBPL,0.1547
54.0,57.0,WIPT,WIPT,0.1592
66.0,69.0,RTLO,RTLO,0.1035
67.5,70.5,LALO,LALO,0.1145
69.0,72.0,LALO,LALO,0.1475
70.5,73.5,LALO,LALO,0.1197
73.5,76.5,LALO,LALO,0.1997
75.0,78.0,LALO,LALO,0.1093
76.5,79.5,LALO,LALO,0.1758
78.0,81.0,LALO,LALO,0.2385
79.5,82.5,WIPT,WIPT,0.2605
81.0,84.0,LALO,LALO,0.2439
84.0,87.0,WIPT,WIPT,0.1050
91.5,94.5,LALO,LALO,0.1041
108.0,111.0,LALO,LALO,0.2177
120.0,123.0,LALO,LALO,0.1266
123.0,126.0,LALO,LALO,0.1336
127.5,130.5,LALO,LALO,0.1054
129.0,132.0,RTLO,RTLO,0.1323
129.0,132.0,LALO,LALO,0.1107
136.5,139.5,LALO,LALO,0.1292
142.5,145.5,LALO,LALO,0.1128
145.5,148.5,LALO,LALO,0.1756
147.0,150.0,RTLO,RTLO,0.1957
148.5,151.5,LALO,LALO,0.1385
153.0,156.0,RTLO,RTLO,0.1351
159.0,162.0,unkMF,unkMF,0.1628
166.5,169.5,LALO,LALO,0.1489
171.0,174.0,LALO,LALO,0.1455
175.5,178.5,LALO,LALO,0.1612
177.0,180.0,LALO,LALO,0.1634
180.0,183.0,LALO,LALO,0.1025
181.5,184.5,LALO,LALO,0.1409
198.0,201.0,LALO,LALO,0.1265
201.0,204.0,RTLO,RTLO,0.1274
210.0,213.0,LALO,LALO,0.1217
211.5,214.5,RTLO,RTLO,0.1359
213.0,216.0,LALO,LALO,0.1245
214.5,217.5,LALO,LALO,0.1087
217.5,220.5,LALO,LALO,0.1324
219.0,222.0,WIPT,WIPT,0.1063
222.0,225.0,WIPT,WIPT,0.1112
226.5,229.5,LALO,LALO,0.1279
228.0,231.0,LALO,LALO,0.2046
228.0,231.0,WIPT,WIPT,0.1328
229.5,232.5,LALO,LALO,0.2551
234.0,237.0,WIPT,WIPT,0.2951
244.5,247.5,LALO,LALO,0.1399
246.0,249.0,LALO,LALO,0.1151
247.5,250.5,WIPT,WIPT,0.3996
267.0,270.0,LALO,LALO,0.1150
268.5,271.5,RTLO,RTLO,0.1712
271.5,274.5,LALO,LALO,0.1392
273.0,276.0,LALO,LALO,0.1642
282.0,285.0,WIPT,WIPT,0.1163
283.5,286.5,WIPT,WIPT,0.3790
289.5,292.5,LALO,LALO,0.1393
291.0,294.0,LALO,LALO,0.1677
292.5,295.5,LALO,LALO,0.2037
