Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,LALO,LALO,0.5957
0,3.0,SAVS,SAVS,0.1597
1.5,4.5,LALO,LALO,0.2339
6.0,9.0,ATSP,ATSP,0.1656
7.5,10.5,LALO,LALO,0.3920
7.5,10.5,SAVS,SAVS,0.3058
9.0,12.0,ATSP,ATSP,0.4623
16.5,19.5,PALO,PALO,0.2421
16.5,19.5,GWFG,GWFG,0.2320
18.0,21.0,PALO,PALO,0.1894
22.5,25.5,GWFG,GWFG,0.1427
22.5,25.5,phalarope,phalarope,0.1192
24.0,27.0,GWFG,GWFG,0.1458
24.0,27.0,RTLO,fc,0.1193
25.5,28.5,GWFG,GWFG,0.3603
27.0,30.0,LTJA,LTJA,0.2817
27.0,30.0,WIPT,WIPT,0.2239
27.0,30.0,PALO,PALO,0.2121
28.5,31.5,GWFG,GWFG,0.3445
28.5,31.5,WIPT,WIPT,0.1183
30.0,33.0,GWFG,GWFG,0.9301
31.5,34.5,GWFG,GWFG,1.0000
33.0,36.0,GWFG,GWFG,1.0000
34.5,37.5,GWFG,GWFG,1.0000
36.0,39.0,GWFG,GWFG,0.9935
37.5,40.5,GWFG,GWFG,0.9527
39.0,42.0,GWFG,GWFG,0.9745
40.5,43.5,GWFG,GWFG,0.9962
42.0,45.0,GWFG,GWFG,0.9815
43.5,46.5,GWFG,GWFG,0.9995
45.0,48.0,GWFG,GWFG,0.9848
46.5,49.5,GWFG,GWFG,0.9968
48.0,51.0,GWFG,GWFG,0.9664
49.5,52.5,GWFG,GWFG,0.9814
51.0,54.0,GWFG,GWFG,0.5198
51.0,54.0,PALO,PALO,0.1865
57.0,60.0,phalarope,phalarope,0.1785
58.5,61.5,GWFG,GWFG,0.1629
58.5,61.5,LTDU,LTDU,0.1092
60.0,63.0,GWFG,GWFG,0.3336
61.5,64.5,GWFG,GWFG,0.3458
63.0,66.0,GWFG,GWFG,0.8449
64.5,67.5,GWFG,GWFG,0.3487
66.0,69.0,RTLO,fc,0.2135
66.0,69.0,LTDU,LTDU,0.1613
66.0,69.0,GWFG,GWFG,0.1403
66.0,69.0,WIPT,WIPT,0.1096
67.5,70.5,GWFG,GWFG,0.1800
69.0,72.0,LTJA,LTJA,0.1637
69.0,72.0,GWFG,GWFG,0.1634
70.5,73.5,CACK,CACK,0.4077
70.5,73.5,GWFG,GWFG,0.1012
72.0,75.0,CACK,CACK,0.5199
72.0,75.0,GWFG,GWFG,0.1434
73.5,76.5,CACK,CACK,0.1527
73.5,76.5,LTJA,LTJA,0.1243
73.5,76.5,LALO,LALO,0.1171
73.5,76.5,GWFG,GWFG,0.1041
75.0,78.0,GWFG,GWFG,0.4159
75.0,78.0,PAJA,PAJA,0.1103
76.5,79.5,GWFG,GWFG,0.7034
78.0,81.0,GWFG,GWFG,0.6033
79.5,82.5,WIPT,WIPT,0.3238
79.5,82.5,GWFG,GWFG,0.1731
81.0,84.0,LTDU,LTDU,0.4012
81.0,84.0,GWFG,GWFG,0.1312
82.5,85.5,GWFG,GWFG,0.5058
82.5,85.5,CACK,CACK,0.1105
84.0,87.0,GWFG,GWFG,0.4113
84.0,87.0,CACK,CACK,0.2791
85.5,88.5,CACK,CACK,0.8668
85.5,88.5,GWFG,GWFG,0.1846
87.0,90.0,CACK,CACK,0.7273
87.0,90.0,GWFG,GWFG,0.1330
88.5,91.5,GWFG,GWFG,0.2788
90.0,93.0,GWFG,GWFG,0.5870
90.0,93.0,YBLO,YBLO,0.1612
91.5,94.5,GWFG,GWFG,0.1304
91.5,94.5,phalarope,phalarope,0.1184
93.0,96.0,LALO,LALO,0.2141
93.0,96.0,SNBU,SNBU,0.1882
93.0,96.0,WCSP,WCSP,0.1420
94.5,97.5,GWFG,GWFG,0.1663
96.0,99.0,CACK,CACK,0.1473
96.0,99.0,GWFG,GWFG,0.1124
97.5,100.5,GWFG,GWFG,0.1253
99.0,102.0,LALO,LALO,0.3033
99.0,102.0,LBDO,LBDO,0.1132
99.0,102.0,SAVS,SAVS,0.1053
100.5,103.5,LALO,LALO,0.4748
102.0,105.0,LALO,LALO,0.2640
102.0,105.0,SAVS,SAVS,0.2421
102.0,105.0,RTLO,fc,0.1095
103.5,106.5,phalarope,phalarope,0.2465
106.5,109.5,ATSP,ATSP,0.1361
108.0,111.0,ATSP,ATSP,0.1114
109.5,112.5,ATSP,ATSP,0.1333
111.0,114.0,SAVS,SAVS,0.2239
111.0,114.0,LALO,LALO,0.2182
112.5,115.5,LALO,LALO,0.5569
112.5,115.5,SAVS,SAVS,0.2430
114.0,117.0,ATSP,ATSP,0.3088
114.0,117.0,WCSP,WCSP,0.1038
120.0,123.0,phalarope,phalarope,0.2286
121.5,124.5,phalarope,phalarope,0.1338
123.0,126.0,phalarope,phalarope,0.1043
124.5,127.5,unkMF,unkMF,0.1144
126.0,129.0,BBPL,BBPL,0.1415
127.5,130.5,LALO,LALO,0.8071
129.0,132.0,SNBU,SNBU,0.6742
130.5,133.5,RTLO,fc,0.2060
130.5,133.5,WIPT,WIPT,0.1254
130.5,133.5,LALO,LALO,0.1048
132.0,135.0,LTDU,LTDU,0.1098
133.5,136.5,LBDO,LBDO,0.1509
133.5,136.5,DUNL,DUNL,0.1460
138.0,141.0,GWFG,GWFG,0.6659
139.5,142.5,GWFG,GWFG,0.9884
141.0,144.0,GWFG,GWFG,0.9618
142.5,145.5,GWFG,GWFG,0.9410
144.0,147.0,GWFG,GWFG,0.9834
145.5,148.5,GWFG,GWFG,0.5422
145.5,148.5,LTJA,LTJA,0.1143
147.0,150.0,CACK,CACK,0.1987
147.0,150.0,GWFG,GWFG,0.1415
147.0,150.0,LTJA,LTJA,0.1068
148.5,151.5,LTJA,LTJA,0.2546
150.0,153.0,LTJA,LTJA,0.1738
150.0,153.0,GWFG,GWFG,0.1060
151.5,154.5,CACK,CACK,0.3775
151.5,154.5,GWFG,GWFG,0.1324
153.0,156.0,GWFG,GWFG,0.2719
153.0,156.0,CACK,CACK,0.1095
154.5,157.5,GWFG,GWFG,0.6008
156.0,159.0,LTJA,LTJA,0.1366
157.5,160.5,CACK,CACK,0.4581
157.5,160.5,GWFG,GWFG,0.1385
159.0,162.0,CACK,CACK,0.2986
159.0,162.0,GWFG,GWFG,0.1569
160.5,163.5,LTJA,LTJA,0.2807
160.5,163.5,WIPT,WIPT,0.1093
162.0,165.0,LTJA,LTJA,0.2158
162.0,165.0,LTDU,LTDU,0.1050
163.5,166.5,LTJA,LTJA,0.1507
163.5,166.5,LTDU,LTDU,0.1280
163.5,166.5,WIPT,WIPT,0.1091
166.5,169.5,GWFG,GWFG,0.2177
166.5,169.5,CACK,CACK,0.1636
168.0,171.0,GWFG,GWFG,0.1159
169.5,172.5,GWFG,GWFG,0.1690
169.5,172.5,WIPT,WIPT,0.1137
171.0,174.0,GWFG,GWFG,0.3531
171.0,174.0,WIPT,WIPT,0.1001
172.5,175.5,GWFG,GWFG,0.1438
174.0,177.0,BBPL,BBPL,0.1443
174.0,177.0,WIPT,WIPT,0.1425
174.0,177.0,LTDU,LTDU,0.1225
175.5,178.5,GWFG,GWFG,0.4183
177.0,180.0,PALO,PALO,0.2447
178.5,181.5,BBPL,BBPL,0.1476
180.0,183.0,RTLO,fc,0.2379
183.0,186.0,PALO,PALO,0.1341
183.0,186.0,GWFG,GWFG,0.1284
184.5,187.5,GWFG,GWFG,0.1798
187.5,190.5,BBPL,BBPL,0.1674
187.5,190.5,WIPT,WIPT,0.1272
192.0,195.0,GWFG,GWFG,0.1807
193.5,196.5,LTDU,LTDU,0.1468
196.5,199.5,BBPL,BBPL,0.1064
199.5,202.5,ATSP,ATSP,0.1058
201.0,204.0,ATSP,ATSP,0.1685
222.0,225.0,ATSP,ATSP,0.1069
238.5,241.5,unkMF,unkMF,0.1463
241.5,244.5,ATSP,ATSP,0.1442
243.0,246.0,ATSP,ATSP,0.1208
244.5,247.5,BBPL,BBPL,0.1082
262.5,265.5,ATSP,ATSP,0.1522
271.5,274.5,BBPL,BBPL,0.1076
289.5,292.5,unkMF,unkMF,0.2134
292.5,295.5,GWFG,GWFG,0.1229
295.5,298.5,ATSP,ATSP,0.1133
