Start (s),End (s),Scientific name,Common name,Confidence
15.0,18.0,unkMF,unkMF,0.1352
16.5,19.5,RTLO,RTLO,0.1410
18.0,21.0,RTLO,RTLO,0.1656
19.5,22.5,RTLO,RTLO,0.2291
21.0,24.0,RTLO,RTLO,0.1966
22.5,25.5,unkMF,unkMF,0.1206
27.0,30.0,LALO,LALO,0.1472
30.0,33.0,RTLO,RTLO,0.1291
31.5,34.5,RTLO,RTLO,0.1786
33.0,36.0,LALO,LALO,0.1305
33.0,36.0,unkMF,unkMF,0.1094
34.5,37.5,WIPT,WIPT,0.2389
36.0,39.0,WIPT,WIPT,1.0000
37.5,40.5,WIPT,WIPT,0.9958
39.0,42.0,WIPT,WIPT,0.3363
42.0,45.0,RTLO,RTLO,0.1155
43.5,46.5,RTLO,RTLO,0.1239
45.0,48.0,RTLO,RTLO,0.1270
48.0,51.0,LALO,LALO,0.1539
48.0,51.0,unkMF,unkMF,0.1245
49.5,52.5,LALO,LALO,0.1568
49.5,52.5,unkMF,unkMF,0.1468
51.0,54.0,RTLO,RTLO,0.1464
52.5,55.5,BBPL,BBPL,0.1416
55.5,58.5,RTLO,RTLO,0.1012
64.5,67.5,LALO,LALO,0.1068
66.0,69.0,LALO,LALO,0.1519
69.0,72.0,LALO,LALO,0.1064
70.5,73.5,LALO,LALO,0.3507
70.5,73.5,unkMF,unkMF,0.1621
76.5,79.5,LALO,LALO,0.1024
91.5,94.5,unkMF,unkMF,0.1223
100.5,103.5,phalarope,phalarope,0.1860
103.5,106.5,WIPT,WIPT,0.1599
114.0,117.0,WIPT,WIPT,0.9212
115.5,118.5,WIPT,WIPT,0.9914
117.0,120.0,WIPT,WIPT,0.9890
118.5,121.5,WIPT,WIPT,0.6614
120.0,123.0,WIPT,WIPT,0.1951
123.0,126.0,phalarope,phalarope,0.1492
126.0,129.0,phalarope,phalarope,0.1484
130.5,133.5,unkMF,unkMF,0.1865
130.5,133.5,LALO,LALO,0.1679
132.0,135.0,WIPT,WIPT,0.1022
132.0,135.0,RTLO,RTLO,0.1021
136.5,139.5,phalarope,phalarope,0.1259
145.5,148.5,LALO,LALO,0.2358
147.0,150.0,BBPL,BBPL,0.3176
148.5,151.5,WIPT,WIPT,0.4731
150.0,153.0,WIPT,WIPT,0.9890
151.5,154.5,WIPT,WIPT,0.9993
153.0,156.0,WIPT,WIPT,0.7585
154.5,157.5,WIPT,WIPT,0.9619
166.5,169.5,SAVS,SAVS,0.1097
171.0,174.0,phalarope,phalarope,0.1584
172.5,175.5,phalarope,phalarope,0.1151
181.5,184.5,LALO,LALO,0.1213
183.0,186.0,LALO,LALO,0.1659
190.5,193.5,LALO,LALO,0.1163
199.5,202.5,phalarope,phalarope,0.1848
204.0,207.0,unkHF,unkHF,0.1427
214.5,217.5,phalarope,phalarope,0.2374
225.0,228.0,phalarope,phalarope,0.1084
226.5,229.5,unkMF,unkMF,0.1085
229.5,232.5,LALO,LALO,0.1355
234.0,237.0,RTLO,RTLO,0.1047
247.5,250.5,phalarope,phalarope,0.1147
259.5,262.5,LALO,LALO,0.1192
261.0,264.0,WIPT,WIPT,0.2062
262.5,265.5,WIPT,WIPT,0.1042
264.0,267.0,WIPT,WIPT,0.1638
286.5,289.5,LALO,LALO,0.1232
286.5,289.5,WIPT,WIPT,0.1173
288.0,291.0,LALO,LALO,0.1919
288.0,291.0,unkMF,unkMF,0.1387
