Start (s),End (s),Scientific name,Common name,Confidence
3.0,6.0,BBPL,BBPL,0.1025
7.5,10.5,BBPL,BBPL,0.1139
12.0,15.0,LALO,LALO,0.1110
15.0,18.0,LALO,LALO,0.1176
18.0,21.0,unkMF,unkMF,0.1242
19.5,22.5,LALO,LALO,0.2758
19.5,22.5,unkMF,unkMF,0.1471
21.0,24.0,LALO,LALO,0.6243
24.0,27.0,unkMF,unkMF,0.1023
25.5,28.5,unkMF,unkMF,0.2814
25.5,28.5,LALO,LALO,0.1331
27.0,30.0,LALO,LALO,0.1186
28.5,31.5,unkMF,unkMF,0.1504
28.5,31.5,LALO,LALO,0.1063
30.0,33.0,phalarope,phalarope,0.2277
40.5,43.5,BBPL,BBPL,0.1033
43.5,46.5,BBPL,BBPL,0.1038
64.5,67.5,BBPL,BBPL,0.1002
72.0,75.0,PALO,PALO,0.1225
76.5,79.5,SAVS,SAVS,0.1156
76.5,79.5,WCSP,WCSP,0.1039
78.0,81.0,BBPL,BBPL,0.1169
81.0,84.0,LALO,LALO,0.4533
81.0,84.0,SNBU,SNBU,0.2485
82.5,85.5,LALO,LALO,0.4431
82.5,85.5,SNBU,SNBU,0.3059
84.0,87.0,WCSP,WCSP,0.3486
84.0,87.0,LALO,LALO,0.1086
96.0,99.0,BBPL,BBPL,0.1114
97.5,100.5,PALO,PALO,0.4708
99.0,102.0,PALO,PALO,0.3258
105.0,108.0,insect,insect,0.1839
114.0,117.0,BBPL,BBPL,0.1314
117.0,120.0,BBPL,BBPL,0.1142
121.5,124.5,BBPL,BBPL,0.1066
130.5,133.5,unkMF,unkMF,0.1087
132.0,135.0,BBPL,BBPL,0.1081
142.5,145.5,BBPL,BBPL,0.2510
145.5,148.5,LALO,LALO,0.1140
150.0,153.0,BBPL,BBPL,0.1138
151.5,154.5,BBPL,BBPL,0.1935
153.0,156.0,BBPL,BBPL,0.1482
154.5,157.5,unkMF,unkMF,0.1144
157.5,160.5,BBPL,BBPL,0.1215
159.0,162.0,BBPL,BBPL,0.1452
163.5,166.5,unkMF,unkMF,0.1464
163.5,166.5,BBPL,BBPL,0.1146
166.5,169.5,SAVS,SAVS,0.1305
166.5,169.5,LALO,LALO,0.1123
168.0,171.0,LALO,LALO,0.3187
168.0,171.0,SNBU,SNBU,0.1359
169.5,172.5,unkMF,unkMF,0.2397
171.0,174.0,unkMF,unkMF,0.1199
171.0,174.0,LALO,LALO,0.1157
172.5,175.5,unkMF,unkMF,0.2093
174.0,177.0,LALO,LALO,0.4193
174.0,177.0,SNBU,SNBU,0.1617
175.5,178.5,LALO,LALO,0.3500
175.5,178.5,SNBU,SNBU,0.1693
175.5,178.5,SAVS,SAVS,0.1028
177.0,180.0,LALO,LALO,0.3674
177.0,180.0,SAVS,SAVS,0.1297
177.0,180.0,SNBU,SNBU,0.1065
180.0,183.0,LALO,LALO,0.5214
180.0,183.0,SAVS,SAVS,0.1038
181.5,184.5,LALO,LALO,0.9598
183.0,186.0,LALO,LALO,0.9968
184.5,187.5,WCSP,WCSP,0.8336
184.5,187.5,SNBU,SNBU,0.2590
187.5,190.5,phalarope,phalarope,0.1401
189.0,192.0,LALO,LALO,0.2464
189.0,192.0,SNBU,SNBU,0.1663
190.5,193.5,LALO,LALO,0.5181
192.0,195.0,LALO,LALO,0.4799
192.0,195.0,WCSP,WCSP,0.1442
192.0,195.0,SNBU,SNBU,0.1032
193.5,196.5,LALO,LALO,0.1308
193.5,196.5,SAVS,SAVS,0.1212
198.0,201.0,unkMF,unkMF,0.1094
207.0,210.0,phalarope,phalarope,0.1144
211.5,214.5,phalarope,phalarope,0.1089
219.0,222.0,phalarope,phalarope,0.1093
223.5,226.5,PALO,PALO,0.1677
237.0,240.0,unkMF,unkMF,0.1036
241.5,244.5,BBPL,BBPL,0.1250
246.0,249.0,BBPL,BBPL,0.1455
253.5,256.5,unkMF,unkMF,0.1103
255.0,258.0,BBPL,BBPL,0.1520
267.0,270.0,BBPL,BBPL,0.1222
267.0,270.0,unkMF,unkMF,0.1134
268.5,271.5,BBPL,BBPL,0.1080
279.0,282.0,BBPL,BBPL,0.1009
291.0,294.0,BBPL,BBPL,0.1712
