Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,motor,motor,0.1576
0,3.0,SESA,SESA,0.1573
1.5,4.5,WIPT,WIPT,0.4219
3.0,6.0,LBDO,LBDO,0.1160
4.5,7.5,DUNL,DUNL,0.1023
6.0,9.0,SNBU,SNBU,0.1773
6.0,9.0,LALO,LALO,0.1264
7.5,10.5,SESA,SESA,0.2233
7.5,10.5,WIPT,WIPT,0.1593
7.5,10.5,motor,motor,0.1318
9.0,12.0,motor,motor,0.1372
9.0,12.0,WIPT,WIPT,0.1058
10.5,13.5,motor,motor,0.1938
12.0,15.0,WIPT,WIPT,0.1980
12.0,15.0,motor,motor,0.1179
13.5,16.5,motor,motor,0.1107
15.0,18.0,LALO,LALO,0.1467
15.0,18.0,RTLO,RTLO,0.1095
16.5,19.5,SESA,SESA,0.1991
18.0,21.0,motor,motor,0.2757
18.0,21.0,LBDO,LBDO,0.1354
19.5,22.5,LBDO,LBDO,0.1277
19.5,22.5,motor,motor,0.1248
21.0,24.0,LBDO,LBDO,0.1702
21.0,24.0,DUNL,DUNL,0.1076
22.5,25.5,motor,motor,0.1602
22.5,25.5,LBDO,LBDO,0.1435
24.0,27.0,LBDO,LBDO,0.1886
24.0,27.0,LALO,LALO,0.1339
25.5,28.5,motor,motor,0.1808
25.5,28.5,LBDO,LBDO,0.1090
25.5,28.5,STSA,STSA,0.1036
27.0,30.0,motor,motor,0.1690
27.0,30.0,WIPT,WIPT,0.1019
28.5,31.5,motor,motor,0.4954
28.5,31.5,WIPT,WIPT,0.2197
30.0,33.0,LBDO,LBDO,0.1041
31.5,34.5,LBDO,LBDO,0.1074
33.0,36.0,LBDO,LBDO,0.2218
34.5,37.5,motor,motor,0.1400
36.0,39.0,LBDO,LBDO,0.1260
36.0,39.0,PESA,PESA,0.1105
36.0,39.0,motor,motor,0.1042
37.5,40.5,DUNL,DUNL,0.2863
37.5,40.5,motor,motor,0.1483
39.0,42.0,motor,motor,0.1286
39.0,42.0,WIPT,WIPT,0.1102
40.5,43.5,phalarope,phalarope,0.2532
40.5,43.5,LBDO,LBDO,0.1430
40.5,43.5,RTLO,fc,0.1311
