Start (s),End (s),Scientific name,Common name,Confidence
1.5,4.5,LALO,LALO,0.1399
3.0,6.0,phalarope,phalarope,0.1198
7.5,10.5,SAVS,SAVS,0.1574
12.0,15.0,LALO,LALO,0.2727
16.5,19.5,RTLO,RTLO,0.2814
18.0,21.0,RTLO,RTLO,0.1970
18.0,21.0,YBLO,YBLO,0.1275
18.0,21.0,unkLF,unkLF,0.1113
19.5,22.5,LALO,LALO,0.1254
24.0,27.0,LALO,LALO,0.1093
25.5,28.5,WIPT,WIPT,0.1007
33.0,36.0,GWFG,GWFG,0.1253
36.0,39.0,LALO,LALO,0.3552
36.0,39.0,BBPL,BBPL,0.1006
37.5,40.5,LALO,LALO,0.2023
37.5,40.5,unkMF,unkMF,0.1050
39.0,42.0,phalarope,phalarope,0.2544
43.5,46.5,phalarope,phalarope,0.1480
45.0,48.0,LALO,LALO,0.2171
45.0,48.0,SNBU,SNBU,0.1468
45.0,48.0,phalarope,phalarope,0.1308
46.5,49.5,LALO,LALO,0.1967
46.5,49.5,phalarope,phalarope,0.1032
48.0,51.0,LALO,LALO,0.1117
49.5,52.5,phalarope,phalarope,0.1304
64.5,67.5,LBDO,LBDO,0.1678
64.5,67.5,LALO,LALO,0.1662
67.5,70.5,phalarope,phalarope,0.1010
72.0,75.0,LALO,LALO,0.1477
72.0,75.0,SAVS,SAVS,0.1042
100.5,103.5,phalarope,phalarope,0.2238
102.0,105.0,phalarope,phalarope,0.1204
115.5,118.5,phalarope,phalarope,0.2115
117.0,120.0,phalarope,phalarope,0.1701
118.5,121.5,phalarope,phalarope,0.1533
120.0,123.0,phalarope,phalarope,0.1473
126.0,129.0,phalarope,phalarope,0.3960
130.5,133.5,phalarope,phalarope,0.1123
132.0,135.0,phalarope,phalarope,0.1034
142.5,145.5,WIPT,WIPT,0.1013
144.0,147.0,WIPT,WIPT,0.1334
148.5,151.5,phalarope,phalarope,0.1026
151.5,154.5,RTLO,fc,0.2404
151.5,154.5,GWFG,GWFG,0.1168
153.0,156.0,GWFG,GWFG,0.4084
153.0,156.0,RTLO,fc,0.2366
154.5,157.5,phalarope,phalarope,0.1068
162.0,165.0,unkLF,unkLF,0.1931
162.0,165.0,RTLO,RTLO,0.1706
163.5,166.5,unkLF,unkLF,0.1538
174.0,177.0,phalarope,phalarope,0.2446
178.5,181.5,phalarope,phalarope,0.2835
180.0,183.0,phalarope,phalarope,0.2872
190.5,193.5,phalarope,phalarope,0.1498
198.0,201.0,LALO,LALO,0.2076
201.0,204.0,phalarope,phalarope,0.2623
202.5,205.5,phalarope,phalarope,0.2063
204.0,207.0,phalarope,phalarope,0.1343
205.5,208.5,LALO,LALO,0.2614
205.5,208.5,unkMF,unkMF,0.1121
207.0,210.0,unkMF,unkMF,0.1567
207.0,210.0,LALO,LALO,0.1298
214.5,217.5,phalarope,phalarope,0.1351
216.0,219.0,LBDO,LBDO,0.9521
217.5,220.5,LBDO,LBDO,1.0000
219.0,222.0,LBDO,LBDO,0.5438
219.0,222.0,DUNL,DUNL,0.2400
226.5,229.5,LBDO,LBDO,0.9187
228.0,231.0,LBDO,LBDO,0.9988
234.0,237.0,BARG,BARG,0.1535
238.5,241.5,LBDO,LBDO,0.9560
240.0,243.0,LBDO,LBDO,0.9991
241.5,244.5,LBDO,LBDO,0.3731
244.5,247.5,phalarope,phalarope,0.1267
246.0,249.0,phalarope,phalarope,0.1244
247.5,250.5,gull,gull,0.2686
252.0,255.0,RTLO,RTLO,0.1572
252.0,255.0,motor,motor,0.1074
256.5,259.5,WIPT,WIPT,0.1518
256.5,259.5,phalarope,phalarope,0.1386
258.0,261.0,phalarope,phalarope,0.1288
273.0,276.0,WIPT,WIPT,0.1048
289.5,292.5,WIPT,WIPT,0.1243
297.0,300.0,LALO,LALO,0.2069
297.0,300.0,LBDO,LBDO,0.1316
