Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,unkMF,unkMF,0.1157
6.0,9.0,RTLO,RTLO,0.1636
18.0,21.0,unkMF,unkMF,0.1242
28.5,31.5,RTLO,RTLO,0.1349
39.0,42.0,phalarope,phalarope,0.1642
40.5,43.5,phalarope,phalarope,0.3443
43.5,46.5,phalarope,phalarope,0.1548
45.0,48.0,phalarope,phalarope,0.2197
46.5,49.5,phalarope,phalarope,0.2258
48.0,51.0,phalarope,phalarope,0.1923
49.5,52.5,phalarope,phalarope,0.1566
51.0,54.0,phalarope,phalarope,0.1346
61.5,64.5,LALO,LALO,0.1559
63.0,66.0,LALO,LALO,0.1531
64.5,67.5,LALO,LALO,0.1232
67.5,70.5,RTLO,RTLO,0.1225
69.0,72.0,RTLO,RTLO,0.1581
70.5,73.5,RTLO,RTLO,0.1097
78.0,81.0,RTLO,fc,0.3202
79.5,82.5,RTLO,fc,0.1614
79.5,82.5,RTLO,RTLO,0.1435
90.0,93.0,phalarope,phalarope,0.1397
93.0,96.0,phalarope,phalarope,0.2666
94.5,97.5,phalarope,phalarope,0.1193
102.0,105.0,phalarope,phalarope,0.1422
115.5,118.5,LALO,LALO,0.1198
117.0,120.0,AMGP,AMGP,0.1206
117.0,120.0,phalarope,phalarope,0.1115
118.5,121.5,LBDO,LBDO,0.2512
118.5,121.5,LALO,LALO,0.1022
124.5,127.5,unkMF,unkMF,0.1021
136.5,139.5,phalarope,phalarope,0.1233
142.5,145.5,LALO,LALO,0.1083
144.0,147.0,WIPT,WIPT,0.1256
145.5,148.5,phalarope,phalarope,0.1130
150.0,153.0,ATSP,ATSP,0.1310
157.5,160.5,phalarope,phalarope,0.1065
159.0,162.0,phalarope,phalarope,0.1537
189.0,192.0,phalarope,phalarope,0.1865
190.5,193.5,phalarope,phalarope,0.3308
192.0,195.0,phalarope,phalarope,0.1364
204.0,207.0,WIPT,WIPT,0.1646
213.0,216.0,phalarope,phalarope,0.3404
214.5,217.5,phalarope,phalarope,0.2176
223.5,226.5,phalarope,phalarope,0.1766
225.0,228.0,phalarope,phalarope,0.1231
232.5,235.5,WIPT,WIPT,0.1057
234.0,237.0,phalarope,phalarope,0.1037
244.5,247.5,ATSP,ATSP,0.1384
246.0,249.0,phalarope,phalarope,0.1242
247.5,250.5,phalarope,phalarope,0.2192
249.0,252.0,ATSP,ATSP,0.1026
250.5,253.5,WIPT,WIPT,0.2343
253.5,256.5,phalarope,phalarope,0.1407
259.5,262.5,phalarope,phalarope,0.1430
261.0,264.0,phalarope,phalarope,0.1766
271.5,274.5,phalarope,phalarope,0.2425
273.0,276.0,phalarope,phalarope,0.3938
274.5,277.5,phalarope,phalarope,0.1347
