Start (s),End (s),Scientific name,Common name,Confidence
15.0,18.0,RTLO,RTLO,0.1758
16.5,19.5,RTLO,RTLO,0.1139
16.5,19.5,LALO,LALO,0.1117
18.0,21.0,RTLO,RTLO,0.1050
25.5,28.5,unkMF,unkMF,0.1099
33.0,36.0,RTLO,RTLO,0.1070
39.0,42.0,unkMF,unkMF,0.1055
42.0,45.0,RTLO,RTLO,0.1116
43.5,46.5,RTLO,RTLO,0.2143
43.5,46.5,PALO,PALO,0.1764
45.0,48.0,LALO,LALO,0.1437
46.5,49.5,RTLO,RTLO,0.1026
54.0,57.0,LALO,LALO,0.1418
58.5,61.5,LALO,LALO,0.1088
64.5,67.5,RTLO,RTLO,0.1108
67.5,70.5,unkMF,unkMF,0.1003
79.5,82.5,RTLO,RTLO,0.1512
81.0,84.0,RTLO,RTLO,0.1375
81.0,84.0,unkMF,unkMF,0.1025
82.5,85.5,unkMF,unkMF,0.1039
84.0,87.0,RTLO,RTLO,0.3160
85.5,88.5,RTLO,RTLO,0.1234
87.0,90.0,RTLO,RTLO,0.1181
88.5,91.5,unkMF,unkMF,0.1045
94.5,97.5,RTLO,RTLO,0.1298
100.5,103.5,unkMF,unkMF,0.1785
100.5,103.5,LALO,LALO,0.1119
102.0,105.0,LALO,LALO,0.1399
105.0,108.0,LALO,LALO,0.1221
117.0,120.0,unkMF,unkMF,0.1568
117.0,120.0,LALO,LALO,0.1412
118.5,121.5,LALO,LALO,0.1372
118.5,121.5,unkMF,unkMF,0.1175
120.0,123.0,LALO,LALO,0.1188
121.5,124.5,RTLO,RTLO,0.1190
123.0,126.0,RTLO,RTLO,0.4017
124.5,127.5,RTLO,RTLO,0.9422
126.0,129.0,RTLO,RTLO,0.2514
126.0,129.0,PALO,PALO,0.1087
129.0,132.0,RTLO,RTLO,0.1337
130.5,133.5,LALO,LALO,0.1584
132.0,135.0,RTLO,RTLO,0.9984
133.5,136.5,RTLO,RTLO,0.9998
135.0,138.0,RTLO,RTLO,1.0000
136.5,139.5,RTLO,RTLO,0.1307
139.5,142.5,RTLO,RTLO,0.2321
141.0,144.0,RTLO,RTLO,0.1282
141.0,144.0,PALO,PALO,0.1082
142.5,145.5,RTLO,RTLO,0.4593
142.5,145.5,motor,motor,0.1147
144.0,147.0,RTLO,RTLO,0.6139
145.5,148.5,RTLO,RTLO,0.9997
147.0,150.0,RTLO,RTLO,1.0000
148.5,151.5,RTLO,RTLO,0.1222
150.0,153.0,RTLO,RTLO,0.1229
151.5,154.5,RTLO,RTLO,0.1570
153.0,156.0,unkMF,unkMF,0.1131
153.0,156.0,LALO,LALO,0.1077
156.0,159.0,unkMF,unkMF,0.1359
159.0,162.0,RTLO,RTLO,0.1907
160.5,163.5,RTLO,RTLO,0.1371
166.5,169.5,RTLO,RTLO,0.4856
166.5,169.5,motor,motor,0.1107
168.0,171.0,RTLO,RTLO,0.9352
169.5,172.5,RTLO,RTLO,0.8135
