Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,unkMF,unkMF,0.1055
3.0,6.0,unkMF,unkMF,0.1319
3.0,6.0,RTLO,RTLO,0.1041
10.5,13.5,unkMF,unkMF,0.2300
13.5,16.5,RTLO,RTLO,0.1241
13.5,16.5,unkMF,unkMF,0.1028
15.0,18.0,unkMF,unkMF,0.1048
16.5,19.5,unkMF,unkMF,0.1863
16.5,19.5,BBPL,BBPL,0.1008
18.0,21.0,unkMF,unkMF,0.1158
19.5,22.5,RTLO,RTLO,0.1093
22.5,25.5,BBPL,BBPL,0.1110
25.5,28.5,RTLO,RTLO,0.1298
30.0,33.0,RTLO,RTLO,0.1266
33.0,36.0,unkMF,unkMF,0.1227
34.5,37.5,unkMF,unkMF,0.1064
36.0,39.0,unkMF,unkMF,0.1163
36.0,39.0,RTLO,RTLO,0.1069
36.0,39.0,BBPL,BBPL,0.1052
39.0,42.0,RTLO,RTLO,0.1422
40.5,43.5,BBPL,BBPL,0.1179
42.0,45.0,unkMF,unkMF,0.1196
42.0,45.0,RTLO,RTLO,0.1145
43.5,46.5,RTLO,RTLO,0.1170
43.5,46.5,BBPL,BBPL,0.1010
45.0,48.0,RTLO,RTLO,0.1020
46.5,49.5,RTLO,RTLO,0.1044
48.0,51.0,unkMF,unkMF,0.1166
49.5,52.5,RTLO,RTLO,0.1464
57.0,60.0,RTLO,RTLO,0.1097
60.0,63.0,RTLO,RTLO,0.1038
70.5,73.5,RTLO,RTLO,0.2192
72.0,75.0,RTLO,RTLO,0.1129
73.5,76.5,RTLO,RTLO,0.1237
78.0,81.0,RTLO,RTLO,0.1562
88.5,91.5,RTLO,RTLO,0.1297
90.0,93.0,PALO,PALO,0.1398
90.0,93.0,RTLO,RTLO,0.1283
100.5,103.5,RTLO,RTLO,0.1330
111.0,114.0,RTLO,RTLO,0.1317
111.0,114.0,unkMF,unkMF,0.1012
112.5,115.5,BBPL,BBPL,0.1246
112.5,115.5,unkMF,unkMF,0.1201
112.5,115.5,RTLO,RTLO,0.1124
114.0,117.0,unkMF,unkMF,0.1092
115.5,118.5,unkMF,unkMF,0.1005
118.5,121.5,RTLO,RTLO,0.1236
121.5,124.5,unkMF,unkMF,0.1205
126.0,129.0,unkMF,unkMF,0.1240
126.0,129.0,RTLO,RTLO,0.1057
129.0,132.0,RTLO,RTLO,0.1106
130.5,133.5,unkMF,unkMF,0.1299
132.0,135.0,unkMF,unkMF,0.1573
132.0,135.0,RTLO,RTLO,0.1032
133.5,136.5,SMLO,SMLO,0.1721
136.5,139.5,unkMF,unkMF,0.1071
138.0,141.0,SMLO,SMLO,0.3760
141.0,144.0,unkMF,unkMF,0.1054
142.5,145.5,unkMF,unkMF,0.1581
144.0,147.0,SMLO,SMLO,0.1520
145.5,148.5,RTLO,RTLO,0.1070
150.0,153.0,unkMF,unkMF,0.1180
151.5,154.5,RTLO,RTLO,0.1076
156.0,159.0,RTLO,RTLO,0.1079
157.5,160.5,BBPL,BBPL,0.1082
157.5,160.5,RTLO,RTLO,0.1076
159.0,162.0,unkMF,unkMF,0.1288
162.0,165.0,BBPL,BBPL,0.1174
163.5,166.5,unkMF,unkMF,0.1039
169.5,172.5,RTLO,RTLO,0.1331
171.0,174.0,BBPL,BBPL,0.1821
171.0,174.0,RTLO,RTLO,0.1475
171.0,174.0,unkMF,unkMF,0.1010
172.5,175.5,unkMF,unkMF,0.1000
189.0,192.0,unkMF,unkMF,0.1058
192.0,195.0,RTLO,RTLO,0.1226
196.5,199.5,BBPL,BBPL,0.1151
216.0,219.0,BBPL,BBPL,0.1317
219.0,222.0,BBPL,BBPL,0.1518
229.5,232.5,BBPL,BBPL,0.1617
241.5,244.5,BBPL,BBPL,0.1057
252.0,255.0,RTLO,RTLO,0.1108
264.0,267.0,unkMF,unkMF,0.2197
270.0,273.0,BBPL,BBPL,0.1070
277.5,280.5,RTLO,RTLO,0.1027
279.0,282.0,BBPL,BBPL,0.1106
285.0,288.0,unkMF,unkMF,0.1371
288.0,291.0,BBPL,BBPL,0.1000
289.5,292.5,BBPL,BBPL,0.1136
289.5,292.5,unkMF,unkMF,0.1043
292.5,295.5,BBPL,BBPL,0.1053
