spec,conf0.0_tp,conf0.0_fp,conf0.0_pre,conf0.05_tp,conf0.05_fp,conf0.05_pre,conf0.11_tp,conf0.11_fp,conf0.11_pre,conf0.16_tp,conf0.16_fp,conf0.16_pre,conf0.21_tp,conf0.21_fp,conf0.21_pre,conf0.26_tp,conf0.26_fp,conf0.26_pre,conf0.32_tp,conf0.32_fp,conf0.32_pre,conf0.37_tp,conf0.37_fp,conf0.37_pre,conf0.42_tp,conf0.42_fp,conf0.42_pre,conf0.47_tp,conf0.47_fp,conf0.47_pre,conf0.53_tp,conf0.53_fp,conf0.53_pre,conf0.58_tp,conf0.58_fp,conf0.58_pre,conf0.63_tp,conf0.63_fp,conf0.63_pre,conf0.68_tp,conf0.68_fp,conf0.68_pre,conf0.74_tp,conf0.74_fp,conf0.74_pre,conf0.79_tp,conf0.79_fp,conf0.79_pre,conf0.84_tp,conf0.84_fp,conf0.84_pre,conf0.89_tp,conf0.89_fp,conf0.89_pre,conf0.95_tp,conf0.95_fp,conf0.95_pre,conf1.0_tp,conf1.0_fp,conf1.0_pre
PAJA,0.5,0.04412,0.16667,0.5,0.04412,0.16667,0.5,0.04118,0.17647,0.5,0.01176,0.42857,0.33333,0.00882,0.4,0.33333,0.00882,0.4,0.33333,0.00882,0.4,0.33333,0.00882,0.4,0.33333,0.00882,0.4,0.33333,0.00882,0.4,0.33333,0.00588,0.5,0.16667,0.00588,0.33333,0.16667,0.00588,0.33333,0.16667,0.00294,0.5,0.16667,0.00294,0.5,0.16667,0.00294,0.5,0.16667,0.00294,0.5,0.16667,0.00294,0.5,0.16667,0.00294,0.5,0.0,0.0,
WIPT,0.97333,0.44649,0.37629,0.97333,0.44649,0.37629,0.97333,0.41328,0.39459,0.94667,0.28044,0.48299,0.93333,0.21402,0.54688,0.92,0.16236,0.61062,0.89333,0.12546,0.66337,0.88,0.1107,0.6875,0.88,0.09594,0.71739,0.86667,0.08118,0.74713,0.85333,0.06273,0.79012,0.84,0.05904,0.79747,0.82667,0.05535,0.80519,0.82667,0.04428,0.83784,0.8,0.04428,0.83333,0.77333,0.04059,0.84058,0.76,0.02952,0.87692,0.72,0.02952,0.87097,0.68,0.02214,0.89474,0.29333,0.0,1.0
phalarope,0.96,0.66667,0.10084,0.96,0.66667,0.10084,0.96,0.6324,0.10573,0.96,0.54829,0.12,0.92,0.48598,0.12849,0.92,0.38941,0.15541,0.88,0.31776,0.17742,0.88,0.28349,0.19469,0.84,0.23676,0.21649,0.84,0.19626,0.25,0.84,0.16199,0.28767,0.84,0.16199,0.28767,0.84,0.1433,0.31343,0.8,0.13396,0.31746,0.8,0.12461,0.33333,0.76,0.1215,0.32759,0.72,0.11526,0.32727,0.72,0.11215,0.33333,0.72,0.09969,0.36,0.4,0.03115,0.5
PESA,0.51852,0.07192,0.57143,0.51852,0.07192,0.57143,0.46296,0.05822,0.59524,0.42593,0.03425,0.69697,0.38889,0.0274,0.72414,0.33333,0.02397,0.72,0.31481,0.02397,0.70833,0.31481,0.02055,0.73913,0.31481,0.01712,0.77273,0.27778,0.01027,0.83333,0.27778,0.01027,0.83333,0.25926,0.01027,0.82353,0.24074,0.01027,0.8125,0.24074,0.01027,0.8125,0.24074,0.00342,0.92857,0.22222,0.00342,0.92308,0.22222,0.00342,0.92308,0.22222,0.00342,0.92308,0.22222,0.00342,0.92308,0.07407,0.0,1.0
Rain,1.0,0.09593,0.05714,1.0,0.09593,0.05714,1.0,0.09012,0.06061,1.0,0.0814,0.06667,1.0,0.07849,0.06897,1.0,0.07267,0.07407,1.0,0.07267,0.07407,1.0,0.07267,0.07407,1.0,0.06977,0.07692,1.0,0.06686,0.08,1.0,0.06686,0.08,1.0,0.06686,0.08,1.0,0.06105,0.08696,1.0,0.06105,0.08696,1.0,0.06105,0.08696,1.0,0.06105,0.08696,1.0,0.05814,0.09091,1.0,0.05523,0.09524,1.0,0.05523,0.09524,0.5,0.02907,0.09091
motor,0.8,0.43402,0.02632,0.8,0.43402,0.02632,0.8,0.38123,0.02985,0.8,0.29619,0.0381,0.6,0.21994,0.03846,0.4,0.16129,0.03509,0.4,0.14663,0.03846,0.4,0.12317,0.04545,0.4,0.11144,0.05,0.4,0.09384,0.05882,0.4,0.07625,0.07143,0.4,0.06745,0.08,0.4,0.06745,0.08,0.4,0.05865,0.09091,0.4,0.05572,0.09524,0.4,0.04985,0.10526,0.2,0.03226,0.08333,0.2,0.02933,0.09091,0.2,0.02053,0.125,0.0,0.00587,0.0
SAVS,1.0,0.41916,0.07895,1.0,0.41916,0.07895,1.0,0.36826,0.08889,1.0,0.20359,0.15,1.0,0.13772,0.2069,1.0,0.08383,0.3,1.0,0.03293,0.52174,0.91667,0.02695,0.55,0.83333,0.02395,0.55556,0.83333,0.02096,0.58824,0.83333,0.01497,0.66667,0.75,0.01198,0.69231,0.75,0.01198,0.69231,0.75,0.00898,0.75,0.75,0.00898,0.75,0.75,0.00599,0.81818,0.75,0.00599,0.81818,0.75,0.00599,0.81818,0.75,0.00599,0.81818,0.33333,0.0,1.0
LTJA,0.76923,0.3003,0.09091,0.76923,0.3003,0.09091,0.76923,0.27327,0.09901,0.76923,0.17417,0.14706,0.69231,0.14114,0.16071,0.69231,0.11411,0.19149,0.69231,0.09009,0.23077,0.69231,0.08709,0.23684,0.69231,0.08108,0.25,0.69231,0.06907,0.28125,0.69231,0.06607,0.29032,0.69231,0.06306,0.3,0.69231,0.05706,0.32143,0.69231,0.04204,0.3913,0.69231,0.03904,0.40909,0.69231,0.03303,0.45,0.69231,0.03003,0.47368,0.53846,0.02703,0.4375,0.46154,0.02402,0.42857,0.23077,0.0,1.0
SMLO,,0.08671,0.0,,0.08671,0.0,,0.07225,0.0,,0.03179,0.0,,0.02023,0.0,,0.00578,0.0,,0.00578,0.0,,0.00289,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
redpoll,0.90909,0.41194,0.06757,0.90909,0.41194,0.06757,0.90909,0.36716,0.07519,0.90909,0.23582,0.11236,0.90909,0.17313,0.14706,0.90909,0.1194,0.2,0.90909,0.09552,0.2381,0.90909,0.07463,0.28571,0.90909,0.06269,0.32258,0.90909,0.0597,0.33333,0.90909,0.05672,0.34483,0.90909,0.05672,0.34483,0.90909,0.05075,0.37037,0.81818,0.03582,0.42857,0.81818,0.03582,0.42857,0.81818,0.03284,0.45,0.81818,0.02687,0.5,0.81818,0.02388,0.52941,0.72727,0.01194,0.66667,0.36364,0.00299,0.8
