Start (s),End (s),Scientific name,Common name,Confidence
1.5,4.5,phalarope,phalarope,0.1611
7.5,10.5,phalarope,phalarope,0.1076
19.5,22.5,DUNL,DUNL,0.2268
21.0,24.0,DUNL,DUNL,0.1073
24.0,27.0,phalarope,phalarope,0.1094
34.5,37.5,phalarope,phalarope,0.2390
45.0,48.0,phalarope,phalarope,0.1768
46.5,49.5,phalarope,phalarope,0.1155
49.5,52.5,phalarope,phalarope,0.1085
51.0,54.0,phalarope,phalarope,0.2194
66.0,69.0,phalarope,phalarope,0.1444
75.0,78.0,BBPL,BBPL,0.1043
82.5,85.5,unkMF,unkMF,0.1155
82.5,85.5,LALO,LALO,0.1022
90.0,93.0,phalarope,phalarope,0.1078
118.5,121.5,RTLO,RTLO,0.1121
121.5,124.5,LALO,LALO,0.1502
121.5,124.5,unkMF,unkMF,0.1171
133.5,136.5,phalarope,phalarope,0.1103
135.0,138.0,phalarope,phalarope,0.1820
136.5,139.5,phalarope,phalarope,0.1329
138.0,141.0,phalarope,phalarope,0.1064
139.5,142.5,phalarope,phalarope,0.1407
157.5,160.5,LALO,LALO,0.2122
160.5,163.5,unkMF,unkMF,0.1559
163.5,166.5,LALO,LALO,0.1167
208.5,211.5,BBPL,BBPL,0.1187
216.0,219.0,unkMF,unkMF,0.1236
217.5,220.5,BBPL,BBPL,0.2198
220.5,223.5,phalarope,phalarope,0.1513
222.0,225.0,phalarope,phalarope,0.1977
232.5,235.5,phalarope,phalarope,0.1709
255.0,258.0,phalarope,phalarope,0.1312
256.5,259.5,phalarope,phalarope,0.1574
258.0,261.0,LTDU,LTDU,0.3220
259.5,262.5,LTDU,LTDU,0.3155
264.0,267.0,LTDU,LTDU,0.1922
265.5,268.5,LTDU,LTDU,0.1695
267.0,270.0,GWFG,GWFG,0.2343
267.0,270.0,BBPL,BBPL,0.1977
267.0,270.0,LTJA,LTJA,0.1236
267.0,270.0,RTLO,fc,0.1046
270.0,273.0,unkMF,unkMF,0.1142
270.0,273.0,LALO,LALO,0.1096
279.0,282.0,BBPL,BBPL,0.2540
285.0,288.0,phalarope,phalarope,0.1111
291.0,294.0,LTDU,LTDU,0.3933
292.5,295.5,LTDU,LTDU,0.7870
