Start (s),End (s),Scientific name,Common name,Confidence
9.0,12.0,ATSP,ATSP,0.1540
13.5,16.5,unkMF,unkMF,0.3687
15.0,18.0,unkMF,unkMF,0.1898
18.0,21.0,WIPT,WIPT,0.1064
25.5,28.5,phalarope,phalarope,0.2654
30.0,33.0,phalarope,phalarope,0.1479
36.0,39.0,unkMF,unkMF,0.1202
37.5,40.5,unkMF,unkMF,0.1999
43.5,46.5,unkMF,unkMF,0.1405
45.0,48.0,unkMF,unkMF,0.2007
46.5,49.5,unkMF,unkMF,0.1193
48.0,51.0,unkMF,unkMF,0.3689
51.0,54.0,phalarope,phalarope,0.1456
58.5,61.5,ATSP,ATSP,0.1052
67.5,70.5,ATSP,ATSP,0.1144
73.5,76.5,unkMF,unkMF,0.1977
87.0,90.0,unkMF,unkMF,0.1670
88.5,91.5,unkMF,unkMF,0.1151
97.5,100.5,unkMF,unkMF,0.1492
102.0,105.0,LALO,LALO,0.1435
102.0,105.0,BBPL,BBPL,0.1228
103.5,106.5,BBPL,BBPL,0.2471
108.0,111.0,LALO,LALO,0.3006
108.0,111.0,AMGP,AMGP,0.1016
114.0,117.0,unkMF,unkMF,0.2930
114.0,117.0,BBPL,BBPL,0.1854
114.0,117.0,ATSP,ATSP,0.1334
114.0,117.0,EYWA,EYWA,0.1135
117.0,120.0,BBPL,BBPL,0.1611
117.0,120.0,ATSP,ATSP,0.1023
118.5,121.5,unkMF,unkMF,0.1547
118.5,121.5,BBPL,BBPL,0.1297
121.5,124.5,unkMF,unkMF,0.6750
127.5,130.5,phalarope,phalarope,0.1615
129.0,132.0,phalarope,phalarope,0.1462
135.0,138.0,LBDO,LBDO,0.2806
136.5,139.5,LBDO,LBDO,0.1899
136.5,139.5,DUNL,DUNL,0.1685
142.5,145.5,ATSP,ATSP,0.1370
144.0,147.0,phalarope,phalarope,0.4728
148.5,151.5,unkMF,unkMF,0.1818
150.0,153.0,unkMF,unkMF,0.1164
153.0,156.0,phalarope,phalarope,0.1047
156.0,159.0,unkMF,unkMF,0.1487
157.5,160.5,unkMF,unkMF,0.4867
159.0,162.0,unkMF,unkMF,0.6319
160.5,163.5,unkMF,unkMF,0.1373
172.5,175.5,unkMF,unkMF,0.2668
175.5,178.5,BBPL,BBPL,0.7644
175.5,178.5,LALO,LALO,0.3298
177.0,180.0,BBPL,BBPL,0.1366
181.5,184.5,SNBU,SNBU,0.1625
181.5,184.5,LALO,LALO,0.1341
183.0,186.0,LALO,LALO,0.2826
184.5,187.5,LALO,LALO,0.2778
184.5,187.5,LBDO,LBDO,0.1519
189.0,192.0,ATSP,ATSP,0.2186
201.0,204.0,phalarope,phalarope,0.1637
204.0,207.0,phalarope,phalarope,0.3677
219.0,222.0,phalarope,phalarope,0.1282
220.5,223.5,phalarope,phalarope,0.1551
222.0,225.0,phalarope,phalarope,0.1580
223.5,226.5,phalarope,phalarope,0.1188
225.0,228.0,GWFG,GWFG,0.3427
225.0,228.0,LTJA,LTJA,0.1384
226.5,229.5,GWFG,GWFG,0.3089
226.5,229.5,LTJA,LTJA,0.1149
229.5,232.5,WCSP,WCSP,0.1350
229.5,232.5,SNBU,SNBU,0.1061
234.0,237.0,phalarope,phalarope,0.1449
238.5,241.5,phalarope,phalarope,0.1211
240.0,243.0,phalarope,phalarope,0.3749
241.5,244.5,ATSP,ATSP,0.1228
244.5,247.5,phalarope,phalarope,0.1737
247.5,250.5,BBPL,BBPL,0.1234
250.5,253.5,LALO,LALO,0.1444
250.5,253.5,BBPL,BBPL,0.1072
265.5,268.5,phalarope,phalarope,0.1237
270.0,273.0,phalarope,phalarope,0.5036
271.5,274.5,phalarope,phalarope,0.3286
273.0,276.0,phalarope,phalarope,0.1816
276.0,279.0,phalarope,phalarope,0.1427
292.5,295.5,phalarope,phalarope,0.3636
295.5,298.5,DUNL,DUNL,0.1117
295.5,298.5,LBDO,LBDO,0.1022
297.0,300.0,LBDO,LBDO,0.7922
298.5,301.5,LBDO,LBDO,0.4665
