Start (s),End (s),Scientific name,Common name,Confidence
3.0,6.0,LALO,LALO,0.1563
3.0,6.0,SNBU,SNBU,0.1282
4.5,7.5,LALO,LALO,0.1737
4.5,7.5,AMGP,AMGP,0.1727
6.0,9.0,BBPL,BBPL,0.1118
12.0,15.0,SNBU,SNBU,0.3127
12.0,15.0,LALO,LALO,0.2668
13.5,16.5,SNBU,SNBU,0.3413
13.5,16.5,LALO,LALO,0.2154
15.0,18.0,LALO,LALO,0.3801
15.0,18.0,SNBU,SNBU,0.1037
16.5,19.5,LALO,LALO,0.1632
16.5,19.5,AMGP,AMGP,0.1232
19.5,22.5,BBPL,BBPL,0.1125
25.5,28.5,LALO,LALO,0.2432
36.0,39.0,unkMF,unkMF,0.3117
36.0,39.0,LALO,LALO,0.1028
37.5,40.5,LALO,LALO,0.1290
37.5,40.5,SAVS,SAVS,0.1154
46.5,49.5,LALO,LALO,0.1389
46.5,49.5,phalarope,phalarope,0.1333
70.5,73.5,LALO,LALO,0.1466
72.0,75.0,LALO,LALO,0.1227
75.0,78.0,LALO,LALO,0.1089
96.0,99.0,LALO,LALO,0.1010
100.5,103.5,BBPL,BBPL,0.1203
102.0,105.0,LALO,LALO,0.2023
102.0,105.0,phalarope,phalarope,0.1123
103.5,106.5,LALO,LALO,0.2475
105.0,108.0,unkMF,unkMF,0.1072
105.0,108.0,LALO,LALO,0.1010
108.0,111.0,LALO,LALO,0.1852
111.0,114.0,phalarope,phalarope,0.1091
112.5,115.5,BBPL,BBPL,0.1041
121.5,124.5,BBPL,BBPL,0.1200
126.0,129.0,BBPL,BBPL,0.1055
127.5,130.5,RTLO,RTLO,0.1118
133.5,136.5,LALO,LALO,0.2155
139.5,142.5,BBPL,BBPL,0.1286
163.5,166.5,unkHF,unkHF,0.1395
165.0,168.0,unkHF,unkHF,0.1552
166.5,169.5,LALO,LALO,0.1210
169.5,172.5,Rain,Rain,0.2171
174.0,177.0,Rain,Rain,0.1345
175.5,178.5,Rain,Rain,0.2356
177.0,180.0,unkHF,unkHF,0.1272
177.0,180.0,Rain,Rain,0.1174
178.5,181.5,Rain,Rain,0.1375
180.0,183.0,Rain,Rain,0.1763
181.5,184.5,Rain,Rain,0.4750
183.0,186.0,Rain,Rain,0.5305
184.5,187.5,Rain,Rain,0.2803
186.0,189.0,Rain,Rain,0.5352
187.5,190.5,Rain,Rain,0.9537
189.0,192.0,Rain,Rain,0.2856
190.5,193.5,Rain,Rain,0.5026
192.0,195.0,Rain,Rain,0.9312
193.5,196.5,Rain,Rain,0.1933
195.0,198.0,unkHF,unkHF,0.3267
196.5,199.5,Rain,Rain,0.1484
198.0,201.0,Rain,Rain,0.5827
199.5,202.5,Rain,Rain,0.4525
201.0,204.0,Rain,Rain,0.2338
205.5,208.5,Rain,Rain,0.2617
207.0,210.0,Rain,Rain,0.4233
208.5,211.5,Rain,Rain,0.1827
210.0,213.0,Rain,Rain,0.2263
213.0,216.0,unkHF,unkHF,0.1234
213.0,216.0,unkMF,unkMF,0.1028
214.5,217.5,unkHF,unkHF,0.1736
220.5,223.5,Rain,Rain,0.1368
222.0,225.0,unkHF,unkHF,0.1105
226.5,229.5,Rain,Rain,0.2245
228.0,231.0,BBPL,BBPL,0.1035
232.5,235.5,Rain,Rain,0.1027
234.0,237.0,Rain,Rain,0.4988
237.0,240.0,BBPL,BBPL,0.1307
238.5,241.5,BBPL,BBPL,0.1008
247.5,250.5,SAVS,SAVS,0.1054
252.0,255.0,BBPL,BBPL,0.1009
256.5,259.5,Rain,Rain,0.1504
258.0,261.0,Rain,Rain,0.6471
259.5,262.5,Rain,Rain,0.1655
264.0,267.0,LALO,LALO,0.1269
268.5,271.5,BBPL,BBPL,0.1222
268.5,271.5,LALO,LALO,0.1037
268.5,271.5,WESA,WESA,0.1036
268.5,271.5,SAVS,SAVS,0.1022
270.0,273.0,LALO,LALO,0.1037
276.0,279.0,BBPL,BBPL,0.1155
279.0,282.0,Rain,Rain,0.9694
280.5,283.5,LESA,LESA,0.4702
282.0,285.0,LALO,LALO,0.5834
286.5,289.5,LALO,LALO,0.1345
292.5,295.5,LALO,LALO,0.1302
