Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,unkMF,unkMF,0.1340
1.5,4.5,unkMF,unkMF,0.1219
4.5,7.5,unkMF,unkMF,0.1802
4.5,7.5,BBPL,BBPL,0.1149
6.0,9.0,unkMF,unkMF,0.2203
6.0,9.0,BBPL,BBPL,0.2121
9.0,12.0,RTLO,RTLO,0.1011
12.0,15.0,unkMF,unkMF,0.1550
12.0,15.0,unkLF,unkLF,0.1083
15.0,18.0,unkMF,unkMF,0.1563
16.5,19.5,unkMF,unkMF,0.1235
21.0,24.0,RTLO,RTLO,0.1108
24.0,27.0,RTLO,RTLO,0.1186
25.5,28.5,unkMF,unkMF,0.1218
25.5,28.5,BBPL,BBPL,0.1007
27.0,30.0,unkMF,unkMF,0.1787
30.0,33.0,RTLO,RTLO,0.1132
31.5,34.5,RTLO,RTLO,0.1947
34.5,37.5,RTLO,RTLO,0.1637
36.0,39.0,RTLO,RTLO,0.1119
39.0,42.0,RTLO,RTLO,0.1325
42.0,45.0,RTLO,RTLO,0.1116
43.5,46.5,RTLO,RTLO,0.1299
45.0,48.0,RTLO,RTLO,0.1025
48.0,51.0,RTLO,RTLO,0.1306
60.0,63.0,RTLO,RTLO,0.1103
69.0,72.0,unkMF,unkMF,0.1293
70.5,73.5,BBPL,BBPL,0.1671
73.5,76.5,unkMF,unkMF,0.2431
75.0,78.0,unkMF,unkMF,0.2011
76.5,79.5,unkMF,unkMF,0.1674
79.5,82.5,BBPL,BBPL,0.1375
81.0,84.0,BBPL,BBPL,0.3255
81.0,84.0,unkMF,unkMF,0.1471
82.5,85.5,unkMF,unkMF,0.1160
85.5,88.5,unkMF,unkMF,0.1243
88.5,91.5,BBPL,BBPL,0.1162
88.5,91.5,unkMF,unkMF,0.1142
91.5,94.5,BBPL,BBPL,0.1320
93.0,96.0,unkMF,unkMF,0.1386
94.5,97.5,unkMF,unkMF,0.1080
96.0,99.0,BBPL,BBPL,0.2877
96.0,99.0,unkMF,unkMF,0.1370
97.5,100.5,BBPL,BBPL,0.1513
97.5,100.5,unkMF,unkMF,0.1353
102.0,105.0,BBPL,BBPL,0.1123
102.0,105.0,unkMF,unkMF,0.1059
106.5,109.5,BBPL,BBPL,0.1328
108.0,111.0,BBPL,BBPL,0.1293
108.0,111.0,RTLO,RTLO,0.1112
109.5,112.5,BBPL,BBPL,0.1987
109.5,112.5,unkMF,unkMF,0.1202
112.5,115.5,BBPL,BBPL,0.1089
114.0,117.0,BBPL,BBPL,0.1279
114.0,117.0,RTLO,RTLO,0.1116
115.5,118.5,BBPL,BBPL,0.1090
117.0,120.0,BBPL,BBPL,0.1266
118.5,121.5,unkMF,unkMF,0.1068
120.0,123.0,BBPL,BBPL,0.1179
123.0,126.0,BBPL,BBPL,0.1165
124.5,127.5,BBPL,BBPL,0.1443
129.0,132.0,BBPL,BBPL,0.1486
130.5,133.5,BBPL,BBPL,0.1240
133.5,136.5,RTLO,RTLO,0.1102
138.0,141.0,BBPL,BBPL,0.1349
142.5,145.5,unkMF,unkMF,0.1655
153.0,156.0,BBPL,BBPL,0.1039
154.5,157.5,unkMF,unkMF,0.1314
156.0,159.0,BBPL,BBPL,0.1028
162.0,165.0,unkMF,unkMF,0.1126
168.0,171.0,BBPL,BBPL,0.1428
172.5,175.5,unkMF,unkMF,0.1439
178.5,181.5,unkMF,unkMF,0.1631
180.0,183.0,BBPL,BBPL,0.1345
184.5,187.5,BBPL,BBPL,0.1260
186.0,189.0,BBPL,BBPL,0.3156
186.0,189.0,unkMF,unkMF,0.1157
187.5,190.5,BBPL,BBPL,0.1038
