Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,RTLO,fc,0.2909
1.5,4.5,RTLO,fc,0.3065
1.5,4.5,GWFG,GWFG,0.1949
1.5,4.5,PALO,PALO,0.1825
3.0,6.0,LALO,LALO,0.3082
3.0,6.0,LBDO,LBDO,0.1417
6.0,9.0,GWFG,GWFG,0.1542
6.0,9.0,PALO,PALO,0.1463
7.5,10.5,GWFG,GWFG,0.1242
9.0,12.0,GWFG,GWFG,0.1162
12.0,15.0,phalarope,phalarope,0.2684
13.5,16.5,unkMF,unkMF,0.2007
13.5,16.5,LALO,LALO,0.1408
13.5,16.5,phalarope,phalarope,0.1113
15.0,18.0,phalarope,phalarope,0.9842
16.5,19.5,phalarope,phalarope,0.9963
18.0,21.0,phalarope,phalarope,0.3407
18.0,21.0,SNBU,SNBU,0.2454
18.0,21.0,LESA,LESA,0.2035
19.5,22.5,phalarope,phalarope,0.1967
19.5,22.5,SNBU,SNBU,0.1533
21.0,24.0,SNBU,SNBU,0.5321
22.5,25.5,phalarope,phalarope,0.8977
24.0,27.0,phalarope,phalarope,0.2499
24.0,27.0,SNBU,SNBU,0.1765
25.5,28.5,LALO,LALO,0.1564
25.5,28.5,PALO,PALO,0.1209
27.0,30.0,phalarope,phalarope,0.4964
28.5,31.5,phalarope,phalarope,0.3076
31.5,34.5,phalarope,phalarope,0.1420
33.0,36.0,phalarope,phalarope,0.3679
33.0,36.0,LALO,LALO,0.1212
34.5,37.5,phalarope,phalarope,0.6632
36.0,39.0,phalarope,phalarope,0.4137
37.5,40.5,phalarope,phalarope,0.2302
37.5,40.5,PALO,PALO,0.1227
39.0,42.0,phalarope,phalarope,0.6184
40.5,43.5,LESA,LESA,0.5859
40.5,43.5,phalarope,phalarope,0.2041
42.0,45.0,WCSP,WCSP,0.1086
46.5,49.5,ATSP,ATSP,0.1194
48.0,51.0,phalarope,phalarope,0.2263
49.5,52.5,phalarope,phalarope,0.2091
49.5,52.5,unkMF,unkMF,0.1433
49.5,52.5,LALO,LALO,0.1171
51.0,54.0,LESA,LESA,0.3326
51.0,54.0,LALO,LALO,0.2130
51.0,54.0,WCSP,WCSP,0.1365
52.5,55.5,WCSP,WCSP,0.1989
55.5,58.5,ATSP,ATSP,0.1901
57.0,60.0,phalarope,phalarope,0.7292
58.5,61.5,phalarope,phalarope,0.3037
60.0,63.0,SAVS,SAVS,0.1023
