Start (s),End (s),Scientific name,Common name,Confidence
25.5,28.5,LALO,LALO,0.9113
27.0,30.0,LALO,LALO,0.5703
30.0,33.0,LALO,LALO,0.3385
31.5,34.5,LALO,LALO,0.3070
33.0,36.0,LALO,LALO,0.2421
58.5,61.5,LALO,LALO,0.6444
60.0,63.0,LALO,LALO,0.3440
61.5,64.5,LALO,LALO,0.3206
63.0,66.0,LALO,LALO,0.3843
63.0,66.0,SNBU,SNBU,0.2371
66.0,69.0,SNBU,SNBU,0.8270
67.5,70.5,SNBU,SNBU,0.3004
69.0,72.0,AMGP,AMGP,0.1167
93.0,96.0,LALO,LALO,0.4229
108.0,111.0,LALO,LALO,0.5552
109.5,112.5,LALO,LALO,0.3563
117.0,120.0,LALO,LALO,0.1666
117.0,120.0,SNBU,SNBU,0.1574
118.5,121.5,LALO,LALO,0.1035
120.0,123.0,LALO,LALO,0.1506
139.5,142.5,LALO,LALO,0.1654
139.5,142.5,SNBU,SNBU,0.1297
141.0,144.0,LALO,LALO,0.3354
141.0,144.0,SNBU,SNBU,0.2384
157.5,160.5,SNBU,SNBU,0.3454
270.0,273.0,LALO,LALO,0.6878
270.0,273.0,SNBU,SNBU,0.2001
271.5,274.5,LALO,LALO,0.4570
