Start (s),End (s),Scientific name,Common name,Confidence
7.5,10.5,BBPL,BBPL,0.1321
10.5,13.5,BBPL,BBPL,0.1084
16.5,19.5,BBPL,BBPL,0.1496
24.0,27.0,BBPL,BBPL,0.1032
25.5,28.5,BBPL,BBPL,0.1021
28.5,31.5,BBPL,BBPL,0.1084
39.0,42.0,BBPL,BBPL,0.1044
45.0,48.0,BBPL,BBPL,0.1042
54.0,57.0,BBPL,BBPL,0.1069
72.0,75.0,BBPL,BBPL,0.1334
97.5,100.5,SESA,SESA,0.2384
99.0,102.0,DUNL,DUNL,0.1001
106.5,109.5,BBPL,BBPL,0.1176
115.5,118.5,BBPL,BBPL,0.1110
117.0,120.0,SESA,SESA,0.1769
117.0,120.0,DUNL,DUNL,0.1458
118.5,121.5,LBDO,LBDO,0.2310
118.5,121.5,DUNL,DUNL,0.1569
118.5,121.5,SESA,SESA,0.1230
120.0,123.0,LBDO,LBDO,0.6946
121.5,124.5,DUNL,DUNL,0.2356
124.5,127.5,LALO,LALO,0.1017
133.5,136.5,BBPL,BBPL,0.1177
141.0,144.0,BBPL,BBPL,0.1111
144.0,147.0,BBPL,BBPL,0.2432
145.5,148.5,BBPL,BBPL,0.2173
159.0,162.0,BBPL,BBPL,0.1334
160.5,163.5,RTLO,RTLO,0.1113
172.5,175.5,BBPL,BBPL,0.1535
172.5,175.5,DUNL,DUNL,0.1189
174.0,177.0,BBPL,BBPL,0.3224
180.0,183.0,WCSP,WCSP,0.3468
184.5,187.5,LALO,LALO,0.1262
190.5,193.5,redpoll,redpoll,0.6795
192.0,195.0,redpoll,redpoll,0.9953
193.5,196.5,redpoll,redpoll,1.0000
195.0,198.0,redpoll,redpoll,0.9925
199.5,202.5,BBPL,BBPL,0.1225
204.0,207.0,BBPL,BBPL,0.1002
205.5,208.5,BBPL,BBPL,0.1242
207.0,210.0,BBPL,BBPL,0.1015
216.0,219.0,phalarope,phalarope,0.1014
222.0,225.0,BBPL,BBPL,0.1050
229.5,232.5,BBPL,BBPL,0.1029
231.0,234.0,BBPL,BBPL,0.1100
232.5,235.5,BBPL,BBPL,0.1112
235.5,238.5,BBPL,BBPL,0.1037
271.5,274.5,BBPL,BBPL,0.2476
273.0,276.0,LALO,LALO,0.1755
274.5,277.5,LALO,LALO,0.1582
274.5,277.5,SNBU,SNBU,0.1346
277.5,280.5,LALO,LALO,0.5950
277.5,280.5,SNBU,SNBU,0.1537
279.0,282.0,LALO,LALO,0.5134
279.0,282.0,SNBU,SNBU,0.1308
280.5,283.5,LALO,LALO,0.2688
280.5,283.5,SNBU,SNBU,0.2030
282.0,285.0,WCSP,WCSP,0.3222
295.5,298.5,BBPL,BBPL,0.1574
