Start (s),End (s),Scientific name,Common name,Confidence
0,3.0,LALO,LALO,0.7349
1.5,4.5,RTLO,RTLO,0.1085
3.0,6.0,RTLO,RTLO,0.1042
9.0,12.0,RTLO,RTLO,0.1323
12.0,15.0,RTLO,RTLO,0.1319
13.5,16.5,RTLO,RTLO,0.1487
15.0,18.0,RTLO,RTLO,0.1514
16.5,19.5,RTLO,RTLO,0.1549
18.0,21.0,RTLO,RTLO,0.1065
19.5,22.5,RTLO,RTLO,0.1152
21.0,24.0,RTLO,RTLO,0.1242
24.0,27.0,RTLO,RTLO,0.1274
25.5,28.5,RTLO,RTLO,0.1372
27.0,30.0,unkMF,unkMF,0.1063
31.5,34.5,unkMF,unkMF,0.1064
34.5,37.5,BBPL,BBPL,0.1018
36.0,39.0,redpoll,redpoll,0.3673
36.0,39.0,LALO,LALO,0.3651
37.5,40.5,ARTE,ARTE,0.2631
39.0,42.0,RTLO,RTLO,0.1386
40.5,43.5,RTLO,RTLO,0.1184
48.0,51.0,LALO,LALO,0.2815
48.0,51.0,unkMF,unkMF,0.1332
48.0,51.0,LBDO,LBDO,0.1062
49.5,52.5,LALO,LALO,0.2046
49.5,52.5,unkMF,unkMF,0.1321
51.0,54.0,RTLO,RTLO,0.1022
52.5,55.5,RTLO,RTLO,0.1200
57.0,60.0,RTLO,RTLO,0.2190
58.5,61.5,RTLO,RTLO,0.1191
61.5,64.5,unkMF,unkMF,0.1372
63.0,66.0,unkMF,unkMF,0.1294
64.5,67.5,unkMF,unkMF,0.1854
66.0,69.0,unkMF,unkMF,0.1980
66.0,69.0,BBPL,BBPL,0.1304
70.5,73.5,unkMF,unkMF,0.1258
72.0,75.0,unkMF,unkMF,0.1636
72.0,75.0,BBPL,BBPL,0.1100
73.5,76.5,unkMF,unkMF,0.1251
76.5,79.5,LALO,LALO,0.1353
78.0,81.0,RTLO,RTLO,0.1484
81.0,84.0,unkMF,unkMF,0.1269
81.0,84.0,RTLO,RTLO,0.1092
82.5,85.5,RTLO,RTLO,0.1151
85.5,88.5,unkMF,unkMF,0.1376
88.5,91.5,RTLO,RTLO,0.1097
90.0,93.0,RTLO,RTLO,0.1515
93.0,96.0,RTLO,RTLO,0.1222
96.0,99.0,RTLO,RTLO,0.1725
99.0,102.0,unkMF,unkMF,0.1931
99.0,102.0,BBPL,BBPL,0.1730
100.5,103.5,unkMF,unkMF,0.2548
100.5,103.5,BBPL,BBPL,0.1725
102.0,105.0,BBPL,BBPL,0.2332
102.0,105.0,unkMF,unkMF,0.1041
103.5,106.5,RTLO,RTLO,0.1109
106.5,109.5,unkMF,unkMF,0.1219
106.5,109.5,RTLO,RTLO,0.1164
108.0,111.0,unkMF,unkMF,0.1263
108.0,111.0,BBPL,BBPL,0.1168
112.5,115.5,RTLO,RTLO,0.1015
114.0,117.0,RTLO,RTLO,0.1038
117.0,120.0,unkMF,unkMF,0.1158
120.0,123.0,redpoll,redpoll,0.1035
121.5,124.5,RTLO,RTLO,0.1308
124.5,127.5,RTLO,RTLO,0.1324
126.0,129.0,RTLO,RTLO,0.1273
127.5,130.5,RTLO,RTLO,0.1090
129.0,132.0,RTLO,RTLO,0.1383
130.5,133.5,RTLO,RTLO,0.1088
135.0,138.0,RTLO,RTLO,0.1713
136.5,139.5,unkMF,unkMF,0.1061
138.0,141.0,RTLO,RTLO,0.1395
138.0,141.0,unkMF,unkMF,0.1137
139.5,142.5,RTLO,RTLO,0.1248
141.0,144.0,RTLO,RTLO,0.1516
142.5,145.5,RTLO,RTLO,0.1514
144.0,147.0,RTLO,RTLO,0.2572
145.5,148.5,LALO,LALO,0.2364
147.0,150.0,LALO,LALO,0.5988
147.0,150.0,redpoll,redpoll,0.2078
148.5,151.5,RTLO,RTLO,0.1332
148.5,151.5,WIPT,WIPT,0.1164
148.5,151.5,LBDO,LBDO,0.1011
150.0,153.0,RTLO,RTLO,0.1129
151.5,154.5,unkMF,unkMF,0.1000
156.0,159.0,RTLO,RTLO,0.1006
157.5,160.5,redpoll,redpoll,0.2067
162.0,165.0,RTLO,RTLO,0.1095
163.5,166.5,RTLO,RTLO,0.1221
165.0,168.0,unkMF,unkMF,0.1109
166.5,169.5,unkMF,unkMF,0.1551
168.0,171.0,SMLO,SMLO,0.1480
169.5,172.5,RTLO,RTLO,0.1011
171.0,174.0,LALO,LALO,0.6622
172.5,175.5,LALO,LALO,0.2731
174.0,177.0,BBPL,BBPL,0.1588
174.0,177.0,RTLO,RTLO,0.1058
175.5,178.5,LALO,LALO,0.1245
175.5,178.5,redpoll,redpoll,0.1144
184.5,187.5,RTLO,RTLO,0.1035
186.0,189.0,RTLO,RTLO,0.1220
189.0,192.0,unkMF,unkMF,0.1078
190.5,193.5,RTLO,RTLO,0.1244
193.5,196.5,RTLO,RTLO,0.1823
198.0,201.0,unkMF,unkMF,0.1728
199.5,202.5,unkMF,unkMF,0.1373
201.0,204.0,RTLO,RTLO,0.1250
210.0,213.0,RTLO,RTLO,0.1494
211.5,214.5,RTLO,RTLO,0.1206
213.0,216.0,RTLO,RTLO,0.1105
217.5,220.5,unkMF,unkMF,0.1109
219.0,222.0,unkMF,unkMF,0.1877
222.0,225.0,RTLO,RTLO,0.1727
223.5,226.5,unkMF,unkMF,0.1431
226.5,229.5,RTLO,RTLO,0.3902
228.0,231.0,RTLO,RTLO,0.1097
229.5,232.5,unkMF,unkMF,0.1019
231.0,234.0,RTLO,RTLO,0.1080
232.5,235.5,RTLO,RTLO,0.1159
235.5,238.5,RTLO,RTLO,0.1233
237.0,240.0,unkMF,unkMF,0.1330
241.5,244.5,RTLO,RTLO,0.1119
246.0,249.0,unkMF,unkMF,0.1065
250.5,253.5,redpoll,redpoll,0.1011
252.0,255.0,unkMF,unkMF,0.1201
253.5,256.5,LALO,LALO,0.1253
253.5,256.5,unkMF,unkMF,0.1144
255.0,258.0,RTLO,RTLO,0.1903
258.0,261.0,RTLO,RTLO,0.2470
261.0,264.0,RTLO,RTLO,0.1763
264.0,267.0,unkMF,unkMF,0.1727
265.5,268.5,unkMF,unkMF,0.1186
267.0,270.0,RTLO,RTLO,0.1331
268.5,271.5,RTLO,RTLO,0.1283
270.0,273.0,unkMF,unkMF,0.1010
271.5,274.5,BBPL,BBPL,0.2130
271.5,274.5,unkMF,unkMF,0.1182
273.0,276.0,unkMF,unkMF,0.1926
274.5,277.5,RTLO,RTLO,0.1361
276.0,279.0,unkMF,unkMF,0.1001
277.5,280.5,LALO,LALO,0.1314
282.0,285.0,unkMF,unkMF,0.1304
283.5,286.5,unkMF,unkMF,0.2267
283.5,286.5,BBPL,BBPL,0.1115
285.0,288.0,unkMF,unkMF,0.2001
289.5,292.5,RTLO,RTLO,0.1250
292.5,295.5,redpoll,redpoll,0.1068
294.0,297.0,LALO,LALO,0.1364
294.0,297.0,unkMF,unkMF,0.1002
295.5,298.5,unkMF,unkMF,0.1338
298.5,301.5,Rain,Rain,0.9983
