Start (s),End (s),Scientific name,Common name,Confidence
25.5,28.5,LALO,LALO,0.1015
27.0,30.0,RTLO,RTLO,0.1128
30.0,33.0,LALO,LALO,0.1452
39.0,42.0,BBPL,BBPL,0.1059
63.0,66.0,BBPL,BBPL,0.1006
72.0,75.0,BBPL,BBPL,0.1041
73.5,76.5,BBPL,BBPL,0.1406
75.0,78.0,BBPL,BBPL,0.1285
78.0,81.0,BBPL,BBPL,0.1650
87.0,90.0,BBPL,BBPL,0.1447
100.5,103.5,motor,motor,0.1572
100.5,103.5,WIPT,WIPT,0.1362
112.5,115.5,BBPL,BBPL,0.1447
114.0,117.0,BBPL,BBPL,0.1309
115.5,118.5,BBPL,BBPL,0.1825
129.0,132.0,BBPL,BBPL,0.1057
133.5,136.5,BBPL,BBPL,0.1188
147.0,150.0,phalarope,phalarope,0.1452
163.5,166.5,BBPL,BBPL,0.1257
166.5,169.5,BBPL,BBPL,0.1063
166.5,169.5,WIPT,WIPT,0.1016
171.0,174.0,BBPL,BBPL,0.1309
199.5,202.5,BBPL,BBPL,0.2048
204.0,207.0,BBPL,BBPL,0.1463
219.0,222.0,RTLO,RTLO,0.1146
228.0,231.0,WCSP,WCSP,0.1429
237.0,240.0,RTLO,RTLO,0.2201
247.5,250.5,RTLO,RTLO,0.1568
252.0,255.0,RTLO,RTLO,0.1389
261.0,264.0,BBPL,BBPL,0.1142
262.5,265.5,BBPL,BBPL,0.1180
265.5,268.5,BBPL,BBPL,0.1852
282.0,285.0,BBPL,BBPL,0.1153
282.0,285.0,WIPT,WIPT,0.1058
286.5,289.5,BBPL,BBPL,0.1036
288.0,291.0,BBPL,BBPL,0.1623
295.5,298.5,LALO,LALO,0.2078
295.5,298.5,phalarope,phalarope,0.1710
295.5,298.5,SNBU,SNBU,0.1107
295.5,298.5,BBPL,BBPL,0.1083
295.5,298.5,LBDO,LBDO,0.1013
297.0,300.0,LALO,LALO,0.3515
297.0,300.0,AMGP,AMGP,0.2052
297.0,300.0,SNBU,SNBU,0.1521
