Start (s),End (s),Scientific name,Common name,Confidence
4.5,7.5,AMGP,AMGP,0.4097
6.0,9.0,LALO,LALO,0.3792
6.0,9.0,SNBU,SNBU,0.1881
7.5,10.5,AMGP,AMGP,0.2212
7.5,10.5,LALO,LALO,0.1375
9.0,12.0,AMGP,AMGP,0.4208
10.5,13.5,WCSP,WCSP,0.1871
16.5,19.5,LBDO,LBDO,0.2036
24.0,27.0,LALO,LALO,0.1391
25.5,28.5,LALO,LALO,0.2059
25.5,28.5,LBDO,LBDO,0.1587
27.0,30.0,LBDO,LBDO,0.6431
28.5,31.5,phalarope,phalarope,0.9879
30.0,33.0,phalarope,phalarope,0.2453
31.5,34.5,LBDO,LBDO,0.1785
33.0,36.0,phalarope,phalarope,0.7955
34.5,37.5,phalarope,phalarope,0.9733
37.5,40.5,phalarope,phalarope,0.8811
39.0,42.0,LBDO,LBDO,0.1410
39.0,42.0,SAVS,SAVS,0.1199
39.0,42.0,LALO,LALO,0.1010
40.5,43.5,SNBU,SNBU,0.2140
43.5,46.5,SNBU,SNBU,0.3077
43.5,46.5,LALO,LALO,0.1009
45.0,48.0,SNBU,SNBU,0.2397
46.5,49.5,phalarope,phalarope,0.3462
48.0,51.0,SNBU,SNBU,0.3671
48.0,51.0,WCSP,WCSP,0.1694
49.5,52.5,LALO,LALO,0.1043
63.0,66.0,WCSP,WCSP,0.4026
67.5,70.5,DUNL,DUNL,0.2722
69.0,72.0,DUNL,DUNL,0.4832
72.0,75.0,LALO,LALO,0.1169
85.5,88.5,SNBU,SNBU,0.9981
87.0,90.0,SNBU,SNBU,0.3529
96.0,99.0,phalarope,phalarope,0.1584
97.5,100.5,phalarope,phalarope,0.3461
99.0,102.0,WIPT,WIPT,0.1649
99.0,102.0,SESA,SESA,0.1591
99.0,102.0,LBDO,LBDO,0.1071
100.5,103.5,WIPT,WIPT,0.9543
102.0,105.0,WIPT,WIPT,0.2232
106.5,109.5,LALO,LALO,0.1286
108.0,111.0,WCSP,WCSP,0.9613
109.5,112.5,WIPT,WIPT,0.1443
111.0,114.0,WIPT,WIPT,0.8513
112.5,115.5,WIPT,WIPT,0.9891
114.0,117.0,WIPT,WIPT,0.1961
114.0,117.0,BBPL,BBPL,0.1253
118.5,121.5,SAVS,SAVS,0.1057
120.0,123.0,SESA,SESA,0.2275
120.0,123.0,LBDO,LBDO,0.1111
123.0,126.0,phalarope,phalarope,0.2356
123.0,126.0,SESA,SESA,0.2079
124.5,127.5,phalarope,phalarope,0.5585
129.0,132.0,phalarope,phalarope,0.2063
130.5,133.5,phalarope,phalarope,0.1092
132.0,135.0,phalarope,phalarope,0.1128
133.5,136.5,LESA,LESA,0.5240
133.5,136.5,BBPL,BBPL,0.2272
133.5,136.5,SNBU,SNBU,0.1438
135.0,138.0,phalarope,phalarope,0.3214
136.5,139.5,phalarope,phalarope,0.6105
136.5,139.5,AMGP,AMGP,0.1216
138.0,141.0,phalarope,phalarope,0.8112
139.5,142.5,BBPL,BBPL,0.4320
139.5,142.5,LESA,LESA,0.1178
141.0,144.0,BBPL,BBPL,0.1968
142.5,145.5,SESA,SESA,0.1804
144.0,147.0,SESA,SESA,0.4986
145.5,148.5,DUNL,DUNL,0.9381
147.0,150.0,DUNL,DUNL,0.9763
150.0,153.0,WCSP,WCSP,0.2964
151.5,154.5,WCSP,WCSP,0.2360
157.5,160.5,BBPL,BBPL,0.1188
175.5,178.5,WIPT,WIPT,0.4685
177.0,180.0,WIPT,WIPT,0.2576
186.0,189.0,WESA,WESA,0.6914
187.5,190.5,DUNL,DUNL,0.9920
189.0,192.0,DUNL,DUNL,1.0000
190.5,193.5,DUNL,DUNL,0.9903
192.0,195.0,DUNL,DUNL,0.3841
193.5,196.5,WIPT,WIPT,0.6423
195.0,198.0,WIPT,WIPT,0.4575
199.5,202.5,LALO,LALO,0.1356
199.5,202.5,SNBU,SNBU,0.1278
207.0,210.0,LBDO,LBDO,0.1125
208.5,211.5,redpoll,redpoll,0.1174
228.0,231.0,phalarope,phalarope,0.1594
229.5,232.5,phalarope,phalarope,0.4964
253.5,256.5,phalarope,phalarope,0.5523
255.0,258.0,phalarope,phalarope,0.3155
255.0,258.0,SNBU,SNBU,0.1169
256.5,259.5,phalarope,phalarope,0.1683
258.0,261.0,phalarope,phalarope,0.9349
259.5,262.5,phalarope,phalarope,0.7246
261.0,264.0,phalarope,phalarope,0.7423
262.5,265.5,phalarope,phalarope,0.9999
264.0,267.0,phalarope,phalarope,0.4825
288.0,291.0,LALO,LALO,0.1637
289.5,292.5,AMGP,AMGP,0.2176
289.5,292.5,LALO,LALO,0.1277
291.0,294.0,AMGP,AMGP,0.1286
291.0,294.0,LALO,LALO,0.1155
