Start (s),End (s),Scientific name,Common name,Confidence
3.0,6.0,ATSP,ATSP,0.2996
12.0,15.0,redpoll,redpoll,0.4680
34.5,37.5,PESA,PESA,0.1054
36.0,39.0,PESA,PESA,0.1977
55.5,58.5,ATSP,ATSP,0.2245
57.0,60.0,ATSP,ATSP,0.1049
130.5,133.5,ATSP,ATSP,0.4774
133.5,136.5,LALO,LALO,0.1041
138.0,141.0,LALO,LALO,0.2878
138.0,141.0,SNBU,SNBU,0.2270
139.5,142.5,LALO,LALO,0.9997
141.0,144.0,BBPL,BBPL,0.5928
153.0,156.0,ATSP,ATSP,0.1054
166.5,169.5,unkMF,unkMF,0.1403
166.5,169.5,ATSP,ATSP,0.1113
168.0,171.0,SNBU,SNBU,0.4259
169.5,172.5,LALO,LALO,0.2889
174.0,177.0,LALO,LALO,0.5263
174.0,177.0,SNBU,SNBU,0.1293
175.5,178.5,LALO,LALO,0.9178
192.0,195.0,PESA,PESA,0.1156
214.5,217.5,unkMF,unkMF,0.1573
219.0,222.0,phalarope,phalarope,0.1071
226.5,229.5,ATSP,ATSP,0.2842
229.5,232.5,phalarope,phalarope,0.1194
231.0,234.0,ATSP,ATSP,0.1302
286.5,289.5,phalarope,phalarope,0.1883
