Start (s),End (s),Scientific name,Common name,Confidence
4.5,7.5,RTLO,RTLO,0.2681
7.5,10.5,RTLO,RTLO,0.1288
10.5,13.5,unkMF,unkMF,0.1091
12.0,15.0,RTLO,RTLO,0.1080
15.0,18.0,RTLO,RTLO,0.1080
19.5,22.5,RTLO,RTLO,0.1390
24.0,27.0,RTLO,RTLO,0.1209
25.5,28.5,RTLO,RTLO,0.1549
27.0,30.0,RTLO,RTLO,0.2097
28.5,31.5,RTLO,RTLO,0.3903
30.0,33.0,RTLO,RTLO,0.5369
31.5,34.5,RTLO,RTLO,0.3023
39.0,42.0,RTLO,RTLO,0.1570
40.5,43.5,RTLO,RTLO,0.2066
42.0,45.0,LALO,LALO,0.1048
42.0,45.0,RTLO,RTLO,0.1032
46.5,49.5,RTLO,RTLO,0.1187
49.5,52.5,RTLO,RTLO,0.1185
55.5,58.5,RTLO,RTLO,0.6536
55.5,58.5,motor,motor,0.1400
57.0,60.0,RTLO,RTLO,0.9351
58.5,61.5,WIPT,WIPT,0.1860
58.5,61.5,RTLO,RTLO,0.1126
60.0,63.0,WIPT,WIPT,0.6007
63.0,66.0,RTLO,RTLO,0.1038
66.0,69.0,RTLO,RTLO,0.1154
67.5,70.5,unkMF,unkMF,0.1026
67.5,70.5,RTLO,RTLO,0.1017
70.5,73.5,RTLO,RTLO,0.1361
75.0,78.0,RTLO,RTLO,0.1662
75.0,78.0,WIPT,WIPT,0.1118
76.5,79.5,RTLO,RTLO,0.2191
76.5,79.5,WIPT,WIPT,0.1639
78.0,81.0,RTLO,RTLO,0.1025
79.5,82.5,RTLO,RTLO,0.4572
84.0,87.0,RTLO,RTLO,0.1461
85.5,88.5,RTLO,RTLO,0.1405
90.0,93.0,RTLO,RTLO,0.1468
91.5,94.5,RTLO,RTLO,0.1458
94.5,97.5,PALO,PALO,0.8819
96.0,99.0,PALO,PALO,1.0000
97.5,100.5,PALO,PALO,0.5625
97.5,100.5,STSA,STSA,0.2948
99.0,102.0,STSA,STSA,0.8265
100.5,103.5,BBPL,BBPL,0.2892
100.5,103.5,RTLO,RTLO,0.1334
102.0,105.0,PALO,PALO,0.7959
103.5,106.5,PALO,PALO,0.3452
103.5,106.5,STSA,STSA,0.1514
105.0,108.0,STSA,STSA,0.2911
105.0,108.0,PAJA,PAJA,0.1283
106.5,109.5,BBPL,BBPL,0.7625
106.5,109.5,STSA,STSA,0.2448
108.0,111.0,STSA,STSA,0.7466
109.5,112.5,STSA,STSA,0.9998
111.0,114.0,STSA,STSA,0.2896
111.0,114.0,BBPL,BBPL,0.1278
114.0,117.0,RTLO,RTLO,0.1476
115.5,118.5,PALO,PALO,0.8418
115.5,118.5,RTLO,RTLO,0.1558
117.0,120.0,PALO,PALO,0.8835
117.0,120.0,RTLO,RTLO,0.1864
118.5,121.5,BBPL,BBPL,0.1735
118.5,121.5,RTLO,RTLO,0.1434
120.0,123.0,STSA,STSA,0.5598
121.5,124.5,STSA,STSA,0.7924
123.0,126.0,STSA,STSA,0.2712
123.0,126.0,BBPL,BBPL,0.1646
124.5,127.5,BBPL,BBPL,0.7978
126.0,129.0,unkMF,unkMF,0.1267
129.0,132.0,RTLO,RTLO,0.1027
130.5,133.5,RTLO,RTLO,0.1548
132.0,135.0,RTLO,RTLO,0.1642
133.5,136.5,RTLO,RTLO,0.1247
135.0,138.0,RTLO,RTLO,0.1094
136.5,139.5,BBPL,BBPL,0.1431
136.5,139.5,RTLO,RTLO,0.1377
142.5,145.5,RTLO,RTLO,0.1212
144.0,147.0,RTLO,RTLO,0.1286
145.5,148.5,RTLO,RTLO,0.1226
