Start (s),End (s),Scientific name,Common name,Confidence
13.5,16.5,LBDO,LBDO,0.3650
15.0,18.0,LBDO,LBDO,0.3383
28.5,31.5,phalarope,phalarope,0.1030
30.0,33.0,LBDO,LBDO,0.9846
31.5,34.5,LBDO,LBDO,0.9961
36.0,39.0,LBDO,LBDO,1.0000
37.5,40.5,LBDO,LBDO,0.9992
39.0,42.0,LBDO,LBDO,0.9866
42.0,45.0,phalarope,phalarope,0.2499
51.0,54.0,ATSP,ATSP,0.1182
63.0,66.0,unkMF,unkMF,0.2994
67.5,70.5,unkMF,unkMF,0.1764
75.0,78.0,phalarope,phalarope,0.1243
85.5,88.5,ATSP,ATSP,0.1005
90.0,93.0,unkMF,unkMF,0.3694
94.5,97.5,phalarope,phalarope,0.1490
97.5,100.5,ATSP,ATSP,0.2053
102.0,105.0,ATSP,ATSP,0.2576
103.5,106.5,ATSP,ATSP,0.2556
105.0,108.0,phalarope,phalarope,0.1130
108.0,111.0,ATSP,ATSP,0.3432
111.0,114.0,unkMF,unkMF,0.5435
112.5,115.5,unkMF,unkMF,0.4489
115.5,118.5,ATSP,ATSP,0.1239
127.5,130.5,GWFG,GWFG,0.1101
129.0,132.0,GWFG,GWFG,0.2406
132.0,135.0,phalarope,phalarope,0.1333
139.5,142.5,unkMF,unkMF,0.1479
141.0,144.0,unkMF,unkMF,0.3379
142.5,145.5,unkMF,unkMF,0.6910
144.0,147.0,unkMF,unkMF,0.1259
145.5,148.5,ATSP,ATSP,0.1605
147.0,150.0,ATSP,ATSP,0.4287
148.5,151.5,phalarope,phalarope,0.1457
157.5,160.5,LBDO,LBDO,0.9999
159.0,162.0,LBDO,LBDO,1.0000
160.5,163.5,LBDO,LBDO,1.0000
162.0,165.0,LBDO,LBDO,0.9815
171.0,174.0,phalarope,phalarope,0.2047
172.5,175.5,phalarope,phalarope,0.1372
177.0,180.0,phalarope,phalarope,0.1385
178.5,181.5,phalarope,phalarope,0.1668
184.5,187.5,phalarope,phalarope,0.2698
186.0,189.0,unkMF,unkMF,0.1209
187.5,190.5,unkMF,unkMF,0.2554
189.0,192.0,unkMF,unkMF,0.1002
190.5,193.5,phalarope,phalarope,0.1345
192.0,195.0,unkMF,unkMF,0.2619
195.0,198.0,unkMF,unkMF,0.1635
198.0,201.0,phalarope,phalarope,0.2082
199.5,202.5,ATSP,ATSP,0.1260
201.0,204.0,LBDO,LBDO,1.0000
202.5,205.5,LBDO,LBDO,0.9999
204.0,207.0,LBDO,LBDO,0.9981
214.5,217.5,phalarope,phalarope,0.1410
216.0,219.0,unkMF,unkMF,0.1074
225.0,228.0,GWFG,GWFG,0.1077
226.5,229.5,GWFG,GWFG,0.1773
232.5,235.5,BBPL,BBPL,0.2055
232.5,235.5,STSA,STSA,0.1061
234.0,237.0,BBPL,BBPL,0.1285
235.5,238.5,unkMF,unkMF,0.2839
237.0,240.0,phalarope,phalarope,0.2231
240.0,243.0,STSA,STSA,0.8226
241.5,244.5,STSA,STSA,0.9987
243.0,246.0,BBPL,BBPL,0.4170
243.0,246.0,STSA,STSA,0.2433
244.5,247.5,BBPL,BBPL,0.1155
250.5,253.5,BBPL,BBPL,0.1287
252.0,255.0,BBPL,BBPL,0.1328
252.0,255.0,LALO,LALO,0.1171
253.5,256.5,BBPL,BBPL,0.2062
255.0,258.0,phalarope,phalarope,0.1210
256.5,259.5,BBPL,BBPL,0.1252
256.5,259.5,STSA,STSA,0.1007
258.0,261.0,WIPT,WIPT,0.2841
259.5,262.5,WIPT,WIPT,0.8245
261.0,264.0,WIPT,WIPT,0.8433
262.5,265.5,WIPT,WIPT,0.2673
264.0,267.0,WIPT,WIPT,0.3641
265.5,268.5,WIPT,WIPT,0.1064
288.0,291.0,WIPT,WIPT,0.1104
291.0,294.0,LBDO,LBDO,1.0000
292.5,295.5,LBDO,LBDO,0.9994
294.0,297.0,LBDO,LBDO,0.9992
295.5,298.5,LBDO,LBDO,0.1907
295.5,298.5,WIPT,WIPT,0.1295
