Start (s),End (s),Scientific name,Common name,Confidence
4.5,7.5,LALO,LALO,0.2186
7.5,10.5,BBPL,BBPL,0.1343
15.0,18.0,LBDO,LBDO,0.7470
16.5,19.5,LBDO,LBDO,0.4553
16.5,19.5,SESA,SESA,0.1311
18.0,21.0,WIPT,WIPT,0.2866
18.0,21.0,LBDO,LBDO,0.1008
19.5,22.5,WIPT,WIPT,0.3002
31.5,34.5,LALO,LALO,0.1691
33.0,36.0,LBDO,LBDO,0.2711
33.0,36.0,WIPT,WIPT,0.2275
34.5,37.5,LBDO,LBDO,0.3457
34.5,37.5,WIPT,WIPT,0.2565
42.0,45.0,BBPL,BBPL,0.1657
42.0,45.0,RTLO,RTLO,0.1056
49.5,52.5,PESA,PESA,0.2413
51.0,54.0,phalarope,phalarope,0.9939
52.5,55.5,phalarope,phalarope,0.9820
54.0,57.0,phalarope,phalarope,0.9511
55.5,58.5,LBDO,LBDO,0.3527
57.0,60.0,SESA,SESA,0.1728
57.0,60.0,LBDO,LBDO,0.1396
58.5,61.5,SESA,SESA,0.1751
58.5,61.5,LBDO,LBDO,0.1722
58.5,61.5,DUNL,DUNL,0.1076
70.5,73.5,LBDO,LBDO,0.2594
72.0,75.0,LBDO,LBDO,0.2465
73.5,76.5,motor,motor,0.1527
73.5,76.5,RTLO,fc,0.1052
76.5,79.5,BBPL,BBPL,0.1051
79.5,82.5,GWFG,GWFG,0.1527
81.0,84.0,phalarope,phalarope,0.9972
82.5,85.5,phalarope,phalarope,1.0000
84.0,87.0,phalarope,phalarope,0.9876
85.5,88.5,RTLO,fc,0.1473
87.0,90.0,GWFG,GWFG,0.1500
87.0,90.0,BBPL,BBPL,0.1440
88.5,91.5,PALO,PALO,0.1844
90.0,93.0,GWFG,GWFG,0.5014
91.5,94.5,PALO,PALO,0.1362
91.5,94.5,GWFG,GWFG,0.1345
93.0,96.0,GWFG,GWFG,0.4922
94.5,97.5,GWFG,GWFG,0.2858
96.0,99.0,BBPL,BBPL,0.1935
106.5,109.5,BBPL,BBPL,0.1662
106.5,109.5,RTLO,RTLO,0.1016
108.0,111.0,GWFG,GWFG,0.1058
111.0,114.0,PALO,PALO,0.2101
112.5,115.5,PALO,PALO,0.1820
115.5,118.5,BBPL,BBPL,0.1161
117.0,120.0,BBPL,BBPL,0.1708
118.5,121.5,SAVS,SAVS,0.1172
120.0,123.0,RTLO,RTLO,0.1011
121.5,124.5,GWFG,GWFG,0.2284
123.0,126.0,GWFG,GWFG,0.1745
126.0,129.0,phalarope,phalarope,0.1526
126.0,129.0,LALO,LALO,0.1226
127.5,130.5,phalarope,phalarope,1.0000
129.0,132.0,phalarope,phalarope,0.9172
130.5,133.5,phalarope,phalarope,0.9086
130.5,133.5,LBDO,LBDO,0.5399
132.0,135.0,phalarope,phalarope,0.9499
133.5,136.5,phalarope,phalarope,0.8870
133.5,136.5,LBDO,LBDO,0.1805
135.0,138.0,phalarope,phalarope,0.8260
135.0,138.0,LBDO,LBDO,0.2703
136.5,139.5,phalarope,phalarope,0.3746
136.5,139.5,LBDO,LBDO,0.3663
138.0,141.0,LBDO,LBDO,0.3085
138.0,141.0,SESA,SESA,0.1171
139.5,142.5,LBDO,LBDO,0.3457
139.5,142.5,SESA,SESA,0.1885
141.0,144.0,LBDO,LBDO,0.3895
141.0,144.0,SESA,SESA,0.1882
142.5,145.5,LBDO,LBDO,0.1571
142.5,145.5,WIPT,WIPT,0.1064
144.0,147.0,phalarope,phalarope,0.1507
145.5,148.5,phalarope,phalarope,0.2172
145.5,148.5,LALO,LALO,0.1023
147.0,150.0,GWFG,GWFG,0.1319
148.5,151.5,phalarope,phalarope,0.6954
150.0,153.0,phalarope,phalarope,0.7963
151.5,154.5,GWFG,GWFG,0.1751
153.0,156.0,BBPL,BBPL,0.2233
153.0,156.0,STSA,STSA,0.1053
153.0,156.0,unkMF,unkMF,0.1019
154.5,157.5,BBPL,BBPL,0.1649
154.5,157.5,AMGP,AMGP,0.1324
157.5,160.5,RTLO,fc,0.1240
157.5,160.5,RTLO,RTLO,0.1004
159.0,162.0,WIPT,WIPT,0.1482
160.5,163.5,LBDO,LBDO,0.1675
162.0,165.0,LBDO,LBDO,0.2163
163.5,166.5,LBDO,LBDO,0.3388
165.0,168.0,RTLO,RTLO,0.1267
165.0,168.0,GWFG,GWFG,0.1250
165.0,168.0,RTLO,fc,0.1053
166.5,169.5,RTLO,RTLO,0.1921
168.0,171.0,GWFG,GWFG,0.1845
169.5,172.5,RTLO,RTLO,0.1361
174.0,177.0,WIPT,WIPT,0.1239
174.0,177.0,PALO,PALO,0.1060
175.5,178.5,RTLO,RTLO,0.1306
177.0,180.0,RTLO,fc,0.2188
177.0,180.0,GWFG,GWFG,0.1269
186.0,189.0,phalarope,phalarope,0.1146
186.0,189.0,SNBU,SNBU,0.1133
186.0,189.0,LALO,LALO,0.1032
192.0,195.0,phalarope,phalarope,0.2798
193.5,196.5,phalarope,phalarope,0.3458
198.0,201.0,LALO,LALO,0.2653
198.0,201.0,phalarope,phalarope,0.1140
199.5,202.5,LALO,LALO,0.1619
201.0,204.0,phalarope,phalarope,0.6529
202.5,205.5,phalarope,phalarope,1.0000
204.0,207.0,phalarope,phalarope,0.9833
205.5,208.5,phalarope,phalarope,0.9787
207.0,210.0,phalarope,phalarope,0.6242
207.0,210.0,LALO,LALO,0.1127
208.5,211.5,SNBU,SNBU,0.7740
210.0,213.0,redpoll,redpoll,0.1320
210.0,213.0,LALO,LALO,0.1051
213.0,216.0,BBPL,BBPL,0.2043
222.0,225.0,insect,insect,0.1396
225.0,228.0,phalarope,phalarope,0.1247
237.0,240.0,WCSP,WCSP,0.1517
237.0,240.0,LALO,LALO,0.1507
237.0,240.0,SAVS,SAVS,0.1339
237.0,240.0,ATSP,ATSP,0.1033
238.5,241.5,LALO,LALO,0.3485
238.5,241.5,SNBU,SNBU,0.1007
240.0,243.0,WCSP,WCSP,0.1224
250.5,253.5,BBPL,BBPL,0.1485
261.0,264.0,phalarope,phalarope,0.1442
267.0,270.0,SNBU,SNBU,0.6540
267.0,270.0,LALO,LALO,0.1251
268.5,271.5,LALO,LALO,0.4234
276.0,279.0,BBPL,BBPL,0.1218
277.5,280.5,RTLO,RTLO,0.1106
280.5,283.5,GWFG,GWFG,0.1863
280.5,283.5,RTLO,fc,0.1739
282.0,285.0,RTLO,fc,0.1836
282.0,285.0,GWFG,GWFG,0.1477
288.0,291.0,LALO,LALO,0.2519
289.5,292.5,LALO,LALO,0.3101
289.5,292.5,unkMF,unkMF,0.1026
297.0,300.0,LALO,LALO,0.5332
298.5,301.5,motor,motor,0.1099
