Start (s),End (s),Scientific name,Common name,Confidence
1.5,4.5,BBPL,BBPL,0.1124
12.0,15.0,POJA,POJA,0.1773
12.0,15.0,LTJA,LTJA,0.1210
13.5,16.5,BBPL,BBPL,0.1351
16.5,19.5,BBPL,BBPL,0.1000
18.0,21.0,GWFG,GWFG,0.1430
18.0,21.0,BBPL,BBPL,0.1027
19.5,22.5,BARG,BARG,0.2002
19.5,22.5,LTJA,LTJA,0.1651
19.5,22.5,GWFG,GWFG,0.1245
21.0,24.0,LTJA,LTJA,0.3794
21.0,24.0,BARG,BARG,0.2615
21.0,24.0,POJA,POJA,0.1008
22.5,25.5,WIPT,WIPT,0.2983
24.0,27.0,WIPT,WIPT,0.2982
27.0,30.0,WIPT,WIPT,0.1508
27.0,30.0,motor,motor,0.1206
28.5,31.5,BBPL,BBPL,0.1323
30.0,33.0,BBPL,BBPL,0.1388
31.5,34.5,BBPL,BBPL,0.1405
42.0,45.0,BBPL,BBPL,0.1137
43.5,46.5,WIPT,WIPT,0.2156
45.0,48.0,WIPT,WIPT,0.5029
51.0,54.0,BBPL,BBPL,0.1047
54.0,57.0,unkMF,unkMF,0.2562
55.5,58.5,redpoll,redpoll,0.1223
57.0,60.0,RTLO,RTLO,0.1032
60.0,63.0,WIPT,WIPT,0.5508
61.5,64.5,WIPT,WIPT,0.8069
66.0,69.0,WIPT,WIPT,0.7519
67.5,70.5,WIPT,WIPT,0.6347
69.0,72.0,RTLO,RTLO,0.3539
69.0,72.0,motor,motor,0.3297
70.5,73.5,RTLO,RTLO,0.6343
70.5,73.5,motor,motor,0.1159
72.0,75.0,motor,motor,0.3611
72.0,75.0,RTLO,RTLO,0.2764
73.5,76.5,RTLO,RTLO,0.1488
73.5,76.5,motor,motor,0.1233
75.0,78.0,RTLO,RTLO,0.1135
76.5,79.5,RTLO,RTLO,0.5172
76.5,79.5,motor,motor,0.1724
78.0,81.0,RTLO,RTLO,0.9998
79.5,82.5,RTLO,RTLO,1.0000
81.0,84.0,RTLO,RTLO,0.6928
82.5,85.5,phalarope,phalarope,0.2025
85.5,88.5,BBPL,BBPL,0.1377
87.0,90.0,WIPT,WIPT,0.4312
88.5,91.5,WIPT,WIPT,0.4338
88.5,91.5,RTLO,RTLO,0.2909
90.0,93.0,RTLO,RTLO,0.9411
91.5,94.5,RTLO,RTLO,0.7647
93.0,96.0,PALO,PALO,0.1683
93.0,96.0,RTLO,RTLO,0.1375
94.5,97.5,PALO,PALO,0.4940
97.5,100.5,RTLO,RTLO,0.2292
99.0,102.0,PALO,PALO,0.6068
99.0,102.0,BBPL,BBPL,0.2208
99.0,102.0,RTLO,RTLO,0.1955
100.5,103.5,PALO,PALO,0.9994
102.0,105.0,PALO,PALO,0.7134
103.5,106.5,PALO,PALO,0.3706
103.5,106.5,RTLO,RTLO,0.1764
106.5,109.5,WIPT,WIPT,0.4683
108.0,111.0,WIPT,WIPT,0.1979
109.5,112.5,DUNL,DUNL,0.1377
111.0,114.0,PALO,PALO,0.6792
112.5,115.5,PALO,PALO,0.6166
112.5,115.5,RTLO,RTLO,0.1480
114.0,117.0,RTLO,RTLO,0.2592
114.0,117.0,PALO,PALO,0.1717
115.5,118.5,BARG,BARG,0.7113
117.0,120.0,BARG,BARG,0.9442
118.5,121.5,PALO,PALO,0.4493
118.5,121.5,BARG,BARG,0.2006
120.0,123.0,PALO,PALO,0.9999
121.5,124.5,PALO,PALO,0.1522
123.0,126.0,BBPL,BBPL,0.1822
124.5,127.5,AMGP,AMGP,0.1440
126.0,129.0,AMGP,AMGP,0.3109
127.5,130.5,BBPL,BBPL,0.1537
127.5,130.5,RTLO,RTLO,0.1207
129.0,132.0,PALO,PALO,0.2810
130.5,133.5,PALO,PALO,0.7487
130.5,133.5,WIPT,WIPT,0.2169
132.0,135.0,WIPT,WIPT,0.4792
132.0,135.0,PALO,PALO,0.1489
133.5,136.5,WIPT,WIPT,0.3661
133.5,136.5,motor,motor,0.1326
135.0,138.0,WIPT,WIPT,0.2357
136.5,139.5,BBPL,BBPL,0.1180
138.0,141.0,RTLO,RTLO,0.9943
139.5,142.5,RTLO,RTLO,0.9997
141.0,144.0,RTLO,RTLO,0.8154
142.5,145.5,WIPT,WIPT,0.2601
144.0,147.0,WIPT,WIPT,0.5255
145.5,148.5,WIPT,WIPT,0.8269
147.0,150.0,BBPL,BBPL,0.2135
148.5,151.5,motor,motor,0.1697
148.5,151.5,WIPT,WIPT,0.1287
150.0,153.0,WIPT,WIPT,0.1748
151.5,154.5,WIPT,WIPT,0.2047
153.0,156.0,BBPL,BBPL,0.1192
153.0,156.0,WIPT,WIPT,0.1003
154.5,157.5,WIPT,WIPT,0.4756
157.5,160.5,BBPL,BBPL,0.4079
159.0,162.0,BBPL,BBPL,0.4706
162.0,165.0,RTLO,RTLO,0.1356
162.0,165.0,motor,motor,0.1040
163.5,166.5,motor,motor,0.2270
163.5,166.5,RTLO,RTLO,0.1561
165.0,168.0,RTLO,RTLO,0.5258
166.5,169.5,RTLO,RTLO,0.9997
168.0,171.0,RTLO,RTLO,0.2328
168.0,171.0,motor,motor,0.1204
168.0,171.0,BBPL,BBPL,0.1186
169.5,172.5,BBPL,BBPL,0.1140
169.5,172.5,unkMF,unkMF,0.1140
174.0,177.0,LALO,LALO,0.1309
175.5,178.5,GWFG,GWFG,0.3844
175.5,178.5,PALO,PALO,0.1296
177.0,180.0,YBLO,YBLO,0.9762
178.5,181.5,YBLO,YBLO,0.9931
180.0,183.0,YBLO,YBLO,0.9830
181.5,184.5,YBLO,YBLO,0.9837
183.0,186.0,YBLO,YBLO,0.9242
184.5,187.5,RTLO,RTLO,0.4832
189.0,192.0,LALO,LALO,0.1197
190.5,193.5,YBLO,YBLO,0.9990
192.0,195.0,YBLO,YBLO,0.9998
193.5,196.5,YBLO,YBLO,0.9956
195.0,198.0,YBLO,YBLO,0.9959
196.5,199.5,YBLO,YBLO,0.9801
199.5,202.5,unkMF,unkMF,0.1313
201.0,204.0,BBPL,BBPL,0.1551
205.5,208.5,YBLO,YBLO,0.7425
207.0,210.0,YBLO,YBLO,0.9931
208.5,211.5,YBLO,YBLO,0.9969
210.0,213.0,YBLO,YBLO,0.9981
211.5,214.5,YBLO,YBLO,0.9154
217.5,220.5,LBDO,LBDO,0.1508
219.0,222.0,LBDO,LBDO,0.1214
220.5,223.5,WIPT,WIPT,0.9777
222.0,225.0,WIPT,WIPT,0.7824
223.5,226.5,WIPT,WIPT,0.2080
225.0,228.0,WIPT,WIPT,0.1911
226.5,229.5,RTLO,RTLO,0.1006
229.5,232.5,LTJA,LTJA,0.1434
229.5,232.5,BBPL,BBPL,0.1161
234.0,237.0,WIPT,WIPT,0.2331
235.5,238.5,WIPT,WIPT,0.2159
235.5,238.5,BBPL,BBPL,0.1561
237.0,240.0,WIPT,WIPT,0.1498
237.0,240.0,BBPL,BBPL,0.1327
238.5,241.5,BBPL,BBPL,0.1240
240.0,243.0,BBPL,BBPL,0.1080
244.5,247.5,BBPL,BBPL,0.1307
252.0,255.0,WIPT,WIPT,0.5093
252.0,255.0,BBPL,BBPL,0.1826
253.5,256.5,WIPT,WIPT,0.5407
259.5,262.5,RTLO,RTLO,0.1395
262.5,265.5,WIPT,WIPT,0.2724
264.0,267.0,WIPT,WIPT,0.5748
267.0,270.0,WIPT,WIPT,0.8420
268.5,271.5,WIPT,WIPT,0.5058
271.5,274.5,WIPT,WIPT,0.3654
274.5,277.5,WIPT,WIPT,0.2744
276.0,279.0,WIPT,WIPT,0.1261
280.5,283.5,unkMF,unkMF,0.1505
285.0,288.0,unkMF,unkMF,0.1132
289.5,292.5,BBPL,BBPL,0.1228
292.5,295.5,RTLO,RTLO,0.1136
